metric	value
retained_path	platform\threads\thread_manager.c
linked_functions	17
ghidra_discovered_functions	15
additional_recovered_functions	2
path_anchored_functions	6
body_bytes	1934
body_concat_sha256	c05a246c6814e3ff661b96166c7907934c9b102dcea861e861716fdc2e2169e5
physical_interval	[0x004C94C8,0x004C9D44)
physical_bytes	2172
physical_sha256	72e5943246e662a05a8258874c381f906c2a5cc4d1c659883fb9476c7b5300c8
noncode_bytes	238
noncode_concat_sha256	446f955f9eaef8b8c58fd0547efcdd052ea585253652e26754bbd42df60043cd
reachable_instructions	686
reachable_instruction_digest	d81ec0ef19970528d0831ba2cdd852509717b8ae195b30ada1f4f59a214015ac
direct_bl_entry_sites	680
direct_bl_entry_digest	c5d5523ae9927b9cddd6e16bb9fc02626dfc30652dfe98b64a010230863d8a6e
stored_aligned_function_entry_pointers	3
stored_aligned_function_entry_pointer_digest	d7ab0ea52847058d515ba2dbe3931bc4020ced21f467c8b907f772af0c056a94
raw_instruction_word_interior_collisions	1
raw_instruction_word_interior_collision_digest	d8c50a375a946661b8e7bfb0c9cbf331cc3a7e1ad67869d4e32e3e1ff7ccce13
direct_body_calls	140
internal_direct_body_calls	23
external_direct_body_calls	117
direct_body_call_digest	a40487fd8a487bf26b537154c2061a2a46da799fe91c187a1fb55f397df75912
indirect_body_calls	10
strict_interior_ingress	0
strict_interior_ingress_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
third_party_dependency	EasyLogger CMSIS-FreeRTOS FreeRTOS assert port littlefs port and closed/bounded first-party providers only; no IAR DLIB edge
private_producing_commit_observable	false
production_routed	false
