stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	ghidra_discovered
0x004C94C8	0x004C9508	64	e836ea5bcf9c7bbacd5228a18f9ed608e81b30130d35a005c65c8c11d86816e6	no	yes
0x004C9508	0x004C951C	20	42f77c6f390c364b673852a4e020fd9e959396902d462e4187aab3017816e7a8	no	yes
0x004C951C	0x004C953E	34	f124f90f2a0aaee2800c2b6fdfe557cf6fbd68e16c39dc08aa8eb9f2a10772c8	no	yes
0x004C953E	0x004C95BC	126	f9e473f1bb45a06ed721df815c7ea139f8be6809ae32981f3b660d6aee55f2e9	no	yes
0x004C95BC	0x004C963A	126	4edb54b187850e8a7bf653f0655c8f4f2d37396f36a9bf77b598086d88f0933a	yes	yes
0x004C963A	0x004C96B6	124	74e9c13f3403d40063a207113f27ccc42ef6dc30393a232ed855b0369ec37983	no	yes
0x004C96B6	0x004C9778	194	7edd2900d6a984f8c705fa3e0afd66057041edc2a801a570c7f094fea1373549	no	yes
0x004C9778	0x004C98C2	330	e8ace76ae304592cd60291cfd0de51d725da033f795458a306ccd5a477053995	yes	yes
0x004C98C2	0x004C995E	156	c529fccec97a12b0536fed6fe52a60a41832ce2163b3309d29afcc5ee953bfa7	yes	yes
0x004C995E	0x004C9B1A	444	ce0fbc2f7eaf49ef9ab2c1cbfce7275f6e39e818e60782da00d912995a0d5042	yes	yes
0x004C9B1A	0x004C9B48	46	671e99872a094ae7d44b9c2c1a5145e1013e2da67fa47a0888cd6a617b77219b	no	yes
0x004C9B48	0x004C9B70	40	cc794a93d4a8df121a0bf78cbd5cc00623e1988d73144ea84ac207306a4cba24	no	no
0x004C9B70	0x004C9B86	22	9c8b2869c1c8736219612caf5ed215c01dee0b08165be47be3926bd655675813	no	no
0x004C9B86	0x004C9BE2	92	618743052a8d2c2bcc97e49be5bac6e79283aaa11551db64b6d254bcba529f59	yes	yes
0x004C9BE2	0x004C9C3C	90	aa95d815320a9cbfa68c985899e3d5683942b60f0f06901d603e51b5ea79efbd	yes	yes
0x004C9C3C	0x004C9C50	20	c3dcd822dc43dbc2a1201fed920ca7221bf8467f5f6ebb8dd67ed0f9c60ea530	no	yes
0x004C9C50	0x004C9C56	6	ef5da08dc20aa6715047232e8b3ef13a3b0df0b5cdb3a18881f13ff05537803b	no	yes
