metric	value
retained_path	platform\threads\thread_notification.c
linked_functions	11
path_anchored_functions	3
body_bytes	702
body_concat_sha256	80854793c072c0b9e76acab5f59d55acd08f0c63fe5e27bb3e66b50bed6fff52
physical_interval	[0x0048E154,0x0048E484)
physical_bytes	816
physical_sha256	24b82e6135ae9148a9ae3c4ddfb62fd5dbfc56d1f8614b1b985efee790a767b9
outer_pool_regions	2
outer_pool_bytes	114
outer_pool_concat_sha256	69df14f4a6473c68592cb4be0461aa5d57e7fd5324fa9caec6c4952cabec843f
direct_bl_entry_sites	9
direct_bl_entry_digest	e5602bc285f8c623c1909b60323cc16ea467bd6af9e314ed347f8feece4c2ed0
stored_entry_pointers	2
stored_entry_pointer_digest	81c35ccb0bf7d083c22334292af3dbcd7abe1d3743fa766a0356425d3aa5a556
direct_body_calls	56
internal_direct_body_calls	8
external_direct_body_calls	48
direct_body_call_digest	729bac9a5e50d8b538325b3fbe8bf19b213a0ae78603470e7f0d221d9ed8c975
indirect_body_calls	0
unrecovered_direct_object_targets	0
third_party_dependency	CMSIS-FreeRTOS and EasyLogger only
historical_source_available	false
private_producing_commit_observable	false
production_routed	false
