recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	entry_evidence	qualification
1	thread_notification_entry	semantic behavior label	0x0048E154	0x0048E1CC	120	48876808cba768041c900a8375fdd899a087d03e3f2a0aa4669bb104eddc5516	no	aligned stored Thumb pointer at 0x0048E44C	initializes notification resources then waits forever on thread flags and dispatches events
2	thread_notification_init_hook	semantic behavior label	0x0048E1CC	0x0048E1CE	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	no	internal BL at 0x0048E15E	intentional empty initialization hook
3	thread_notification_queue_init	semantic behavior label	0x0048E1CE	0x0048E1F6	40	0a494b6a31c7de351f07054bfbc8aea18ce9ab659603658f4cc4a22944436a00	no	internal BL at 0x0048E15A	creates 50-entry four-byte notification queue and fail-stops on allocation failure
4	thread_notification_whitelist_init	semantic behavior label	0x0048E1F6	0x0048E1FE	8	0b71c46c9fdf6ac26e43d1680d04302ae39056732947bbc2415437b20352d091	no	internal BL at 0x0048E162	loads first-party whitelist state
5	thread_notification_state_enter	semantic behavior label	0x0048E1FE	0x0048E208	10	50477d59b60bcfa4a0387731db5dd599d43b2031c7ce5257a92375360c3f7c83	no	internal BL at 0x0048E156	marks notification thread state active
6	thread_notification_state_exit	semantic behavior label	0x0048E208	0x0048E212	10	de3785dc15f2960b8032e399724967dd475cb5ac4bcb1b2d4e8a4372132cceee	no	internal BL at 0x0048E166	marks notification thread state ready
7	thread_notification_create	semantic behavior label	0x0048E212	0x0048E242	48	f3949197cf61196fa7428e4b7f4180a9534acf005d57686b3c2c81bbb98a918d	no	packed stored Thumb pointer at 0x00794117	creates the CMSIS thread from the retained descriptor and registers its control state
8	thread_notification_destroy	semantic behavior label	0x0048E242	0x0048E25E	28	f750b423d4048f670a121e1279b2f65fba16b0a9fdd5e594a15ecfacc8cc75d1	no	contiguous executable recovery	terminates a live notification thread, clears its handle, and unregisters control state
9	thread_notification_drain_queue	semantic behavior label	0x0048E25E	0x0048E2B8	90	90d8f648c6b11aed8f435361a5b6bd8f7391c28e6c02fd613041cdb1d55af711	no	internal BL at 0x0048E300	drains queued records and dispatches two known IDs before freeing each record
10	_thread_notify_event_handler	exact retained diagnostic symbol	0x0048E2B8	0x0048E34E	150	655259b0c25a3c4c8be24e6b0a345ee3820fda043f8489e06a51dab8089409fb	yes	BL at 0x0048E16C	dispatches queue, whitelist-update, and exit bits
11	_thread_exit	exact retained diagnostic symbol	0x0048E34E	0x0048E3E2	148	5b464d95266c96c3642db3403c25ea34b76126950b876af153f401860078dd2f	yes	internal BL at 0x0048E348	marks exit, deletes the queue, logs, then blocks forever in osDelay
12	Thread_SendEvtToNotifTask	exact retained diagnostic symbol	0x0048E3E2	0x0048E42E	76	d24bb1c0dc6715020e054cdd219bbd76fa1b3be720ecce7269943bffcfd7704f	yes	BL at 0x0045767E	sets notification thread flags
