metric	value
retained_path	framework\sync\thread_pool.c
linked_functions	3
ghidra_discovered_functions	2
additional_recovered_functions	1
path_anchored_functions	2
body_bytes	1290
body_concat_sha256	9c2941946bcf4461fe4cee9d1df5be29f26847f8932be7dbfd96d6cb9abc1308
physical_interval	[0x0049110C,0x004916B8)
physical_bytes	1452
physical_sha256	a8140e215ccba8535685d8e44dbbae789d0e63cc24b1b0ab333bd07653de26e9
noncode_bytes	162
noncode_concat_sha256	3620f0bbf469141fe26057bbcdc42427578e819b2b775297ef9016c88439da22
reachable_instructions	463
reachable_instruction_digest	06a44d1794bc8b12d5ce12756a7fff4868e831e9c619e8a36d537e1df7cc5236
direct_bl_entry_sites	18
direct_bl_entry_digest	1eb12f89e650ced7c33e059ebecfece44d4d711444d750f53462ff76ed2d5196
stored_aligned_function_entry_pointers	1
stored_aligned_function_entry_pointer_digest	72f8e6cf5f64c4ba9d4ad5b4fdd6433b1dc1d15f4c1fb1581ee39c1f919fc3ac
raw_instruction_word_interior_collisions	1
raw_instruction_word_interior_collision_digest	927d7f8ab14b52e6156e778ee77ed9064bb844fde3a56805e292bbcc6f64c623
direct_body_calls	78
internal_direct_body_calls	0
external_direct_body_calls	78
direct_body_call_digest	3fd397642e783ec362b1d48655f85b1a828a68c4a26740228df7fb59957c8ce7
indirect_body_calls	1
strict_interior_ingress	0
strict_interior_ingress_digest	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
third_party_dependency	EasyLogger CMSIS-FreeRTOS FreeRTOS assert port and bounded IAR DLIB only; zero first-party call edges
private_producing_commit_observable	false
production_routed	false
