# SPDX-License-Identifier: MIT
entry	name	family	status	license	concrete_source	implemented	instruction_bytes	instruction_sha256	component	internal_callers	internal_callees	external_dependencies	evidence
0x0158	touch_sub_0158	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	10	c36ba6f99ebece2e63d3c5e5c6b024253f3c952e6d75e88542103a3e46e33e7d	0	0x0164			address partition and call topology only; behavior, ABI and historical source remain unasserted
0x0164	touch_sub_0164	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	164	0532c4e562f17ce951bbbf23d2bc295885f0c0dae97463ae2d28df6eecb88d5b	0		0x0158,0x09B4	0x1374,0x5738,0x76AC,0x76D4,0x76E4	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x01D8	touch_sub_01d8	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	50	c77270785c905dd1d4d1d876cd49736efaffd29367825d8dcdef024be97a2a1e	0	0x065C		0x5738	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x0220	touch_sub_0220	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	60	ef8bcafdfc26d42e2e1aff6900c08599d7c7507ec547e10eab8e09866fdb1dd2	0	0x065C		0x5778	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x02B0	touch_sub_02b0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	38	02f2c939cd0e86a5ee5eb8ba6583471c37b866cf070a9e40eea62997d4ece8b1	0	0x065C		0x57E0	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x02E4	touch_sub_02e4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	10	c84096b2d05f8df35d37689b00abb03ece692951f81f89c2570155611834271c	8				address partition and call topology only; behavior, ABI and historical source remain unasserted
0x0324	touch_sub_0324	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	12	76cdace20c6436259e5a8420e9c6b8f850ee7ec6b259669c2a8466ab8ec14989	9			0x680C	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x0338	touch_sub_0338	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	24	74f0aae50b2c2628970da5f6aece85398447cda4ad80b487febae56a6ef7ecea	0	0x09B4		0x7350,0x73A8	address partition and call topology only; behavior, ABI and historical source remain unasserted
0x0358	touch_sub_0358	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	22	cd8fae838ff4b175d15f11644012d868bfc45f41d139cd0878ead30f4db43dff	0	0x09B4	0x0D4C		address partition and call topology only; behavior, ABI and historical source remain unasserted
0x05E0	touch_sub_05e0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	86	4f0dd0098f258592123cdb89a2ccda97f650c40d37b97a7b732d71f5d82cc0fd	0	0x09B4	0x17F4,0x197C	0x6FA8	address partition and call topology only; behavior, ABI and historical source remain unasserted
