# SPDX-License-Identifier: MIT
component	functions	entries
0	71	0x0158,0x0164,0x01D8,0x0220,0x02B0,0x0338,0x0358,0x05E0,0x065C,0x0780,0x09A4,0x09B4,0x0D4C,0x1192,0x119A,0x11A0,0x11B4,0x11C4,0x11D0,0x1226,0x1228,0x1236,0x1238,0x12A4,0x12A6,0x12AC,0x12D0,0x1334,0x1350,0x13F8,0x1434,0x15CC,0x16D4,0x16E6,0x172A,0x17BE,0x17F4,0x18A8,0x1904,0x1944,0x1972,0x197C,0x1AB4,0x1AB8,0x1AC4,0x1AEC,0x1B1C,0x1B36,0x1B58,0x1B60,0x1B6C,0x1C54,0x1C6E,0x1CA8,0x1CC2,0x1CDE,0x1CEE,0x1D54,0x1DA0,0x2568,0x25F8,0x2620,0x2638,0x270A,0x2794,0x28A2,0x28C0,0x2902,0x2972,0x297A,0x298E
1	5	0x1E88,0x1EBC,0x2228,0x2248,0x23A4
2	3	0x1DE4,0x1FBC,0x2078
3	2	0x1366,0x1368
4	2	0x1418,0x141C
5	2	0x1484,0x1510
6	2	0x1488,0x14B0
7	2	0x291E,0x2956
8	1	0x02E4
9	1	0x0324
10	1	0x0648
11	1	0x1370
12	1	0x1480
13	1	0x148C
14	1	0x1490
15	1	0x14AA
16	1	0x1560
17	1	0x156C
