# SPDX-License-Identifier: MIT
entry	name	status	provider_family	provider_comparison_commit	provider_version_claim	license	concrete_source	clean_room_reimplementation_required	instruction_bytes	instruction_sha256	component	internal_callers	internal_callees	external_dependencies	evidence
0x2998	touch_sub_2998	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	10	8449ee289c4747a37e1df142d499105d082510786152d15ec020347b606f3279	1		0x2CBA	0x0648	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x29A2	touch_sub_29a2	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	8	6f8a68c8297071c8f8bbc92299e9558d82f7ece8429362fb3bba396a919a513a	0		0x4862	0x17F4	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x29AC	touch_sub_29ac	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	72	3119b7e8c95ce1c6d0ebaea1a9e44acdbee5b1a8c7be5fbc159115a17b388705	0	0x3EC8	0x48C0		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2A70	touch_sub_2a70	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	26	20eb1296220fb932c6de2caba5ee3b67204cbc9994df391a91d02fab5ade75ba	0	0x2A90,0x2AD8,0x3EC8			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2A90	touch_sub_2a90	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	70	2b1473d6d32a1733d828e601cd2b4f1db5c59c2c3b29bac083c8730410d607c8	0		0x2A70	0x09B4	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2AD8	touch_sub_2ad8	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	132	57674d56b3996432e31143b38e1210f3b29297646dbb9dac5095e28a9db2d261	0		0x2A70	0x09B4,0x6A90,0x6ADC,0x6B18,0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2B64	touch_sub_2b64	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	98	eea7d108d821d99e816c9756777d1045ced26574c092e3a4adb40d0581b24d92	0	0x4280,0x4684			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2BCC	touch_sub_2bcc	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	100	64f9683826e314f2ac032d69487a829a98cd6ed9a1ea204c99aaa136f4828da8	0	0x40F6,0x43B8,0x4684			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2C34	touch_sub_2c34	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	42	bc68abc2591b4bcdfe85f0b0df81354f2c09fa05df09ccd87da310eeb30340cb	0	0x4280,0x449E			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2C5E	touch_sub_2c5e	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	12	6721f053029f5811f026624cfcc433421951358eaab64b3c6977b840b6415833	0	0x4280			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2C6A	touch_sub_2c6a	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	58	d34248b1db522012dc2c8b3ea47f07e6f27ab9d584a7a23868208e43e8d83acf	0	0x40F6,0x4280,0x43B8		0x73C0	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2CBA	touch_sub_2cba	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	12	093cea1446a2a041c7d4522cf907f0a8d94b34d66750a5164d39324b8175627b	1	0x2998			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2E40	touch_sub_2e40	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	12	aa314476c0e1f310c86e76ebe75093c1246ad812ec7711343b5a3dcefa842aa0	0	0x38D4,0x3A74			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2E4C	touch_sub_2e4c	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	36	abb33ee26468ac94a0894b3e75b695b36e8f1e09caa82b0fe0a8db6e63f2cba6	0	0x3480			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2E70	touch_sub_2e70	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	124	5157fb37ba4be934fe524dd8c8b2dc71e5ccc358cd4c19bd28570e16bcc73933	0	0x40F6			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2EF0	touch_sub_2ef0	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	48	47b57878e485229118057ff10dde43c8b14892e0c2417fdd890ac7deb99e9126	0	0x2F94		0x74CC	closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2F20	touch_sub_2f20	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	24	0ef96accc8ceff5282c0d2760c84f76cd4b3b0c3c3558b6c94eaabc54b036a19	0	0x2F3C,0x2F94			closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
0x2F3C	touch_sub_2f3c	typed_external_eula_provider_boundary	Infineon CAPSENSE middleware	25fa1cd5abb4cc66981b04f8872d57d74e398976	comparison-only-not-historical-build	LicenseRef-Infineon-Cypress-EULA	false	true	38	5d77837d970815950aa5195c2bb66512a4355c87069c9a80d84d0285e338bfcb	0	0x3084	0x2F20		closed CAT2 census plus cohesive fifth-generation sensing/processing call cluster; exact per-function historical source identity intentionally not asserted
