# SPDX-License-Identifier: MIT
entry	symbol	subsystem	source	source_line	source_file_sha256	provider_commit	license	adapter	instruction_sha256	target_signature_sha256	evidence
0x5B28	Cy_GPIO_SetHSIOM	gpio_inline	https://github.com/Infineon/mtb-pdl-cat2/drivers/include/cy_gpio.h	482	b97bb3ca2eeb92940a63a4bc065310cad2dad46f275646c514475f2ce05d08f0	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	954a66d658b678d166a0915d777d8ca5e5e8fc1c188fc81faafcae5ab9d5b90e	4de6add694e67710497f463eda10d074c48cab88358e2c953518d614f6eeab2d	HSIOM port derivation and four-bit per-pin clear/set
0x5B64	Cy_GPIO_Write	gpio_inline	https://github.com/Infineon/mtb-pdl-cat2/drivers/include/cy_gpio.h	719	b97bb3ca2eeb92940a63a4bc065310cad2dad46f275646c514475f2ce05d08f0	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	d4986aa95d320e707b911f081eb3237dd64e1c03f05f00ecf9dac6c8232b2660	7e91f1a617a92cf29c3b16f4a7b5019fb9bc1efaa31b14029a8e2a2cbfd86492	pin validation followed by DR_SET/DR_CLR atomic write
0x5B84	Cy_GPIO_SetDrivemode	gpio_inline	https://github.com/Infineon/mtb-pdl-cat2/drivers/include/cy_gpio.h	867	b97bb3ca2eeb92940a63a4bc065310cad2dad46f275646c514475f2ce05d08f0	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	430593a5b307bca1d4e239879bc208cf7f09e3feddfaac01da19e9fefe6fb2b5	f31717a0f7da9fc232261580b4ec903338d4839bb50b694b968ea70b95f619eb	three-bit PC plus fourth drive-mode bit in PC2
0x5BBE	Cy_GPIO_SetInterruptEdge	gpio_inline	https://github.com/Infineon/mtb-pdl-cat2/drivers/include/cy_gpio.h	1190	b97bb3ca2eeb92940a63a4bc065310cad2dad46f275646c514475f2ce05d08f0	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	6cf558f6ba5da5d9bb2f348bfc3e91838df206b5862cbdd9ece652a2aa42f454	62adeed25bde7d1255c4980ed1daa303786f158fa2c6be7d7111a4794bcd3b70	two-bit per-pin interrupt configuration clear/set
0x6938	Cy_SysClk_ExtClkGetFrequency	sysclk	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_sysclk.c	75	fa7d3221a4a52f4cae68d291237c57541448539db05ddf0ba653fd0a04c08594	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	11bb59ded7ced70e8b2d9366d7b5ad8c67fa6722b98f2e67909f8fa86ed19ed3	b42081e52b32141e4781a4db735104314bb42eda62cf9726edc0df48bc503d5a	single load of private EXTCLK frequency storage
0x6944	Cy_SysClk_ImoGetFrequency	sysclk	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_sysclk.c	343	fa7d3221a4a52f4cae68d291237c57541448539db05ddf0ba653fd0a04c08594	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	90fd17f92b253fcfa0015fed9d150f86cfc0d81206ba06c4dc7dcddeb2b915f1	a61b7fd66afbe2307d4cca9561632ef0084f49ae13f56b7350011a1390ab9b55	IMO enabled check and CLK_IMO_SELECT frequency-field scaling
0x6980	Cy_SysClk_ImoSetFrequency	sysclk	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_sysclk.c	190	fa7d3221a4a52f4cae68d291237c57541448539db05ddf0ba653fd0a04c08594	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	0ea6926ab66f6b05b73a6914c3a6342899586666cc1b0ef9d4c18ae69f3cba0a	a5688ec98ce3ed9f9bbeb4b1904e91b64e0f7dc58d1d1f2a0388017f22581c48	valid frequency set, trim-table programming, two 50-cycle delays
0x6A90	Cy_SysClk_IloStartMeasurement	sysclk	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_sysclk.c	610	fa7d3221a4a52f4cae68d291237c57541448539db05ddf0ba653fd0a04c08594	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	7791350b7898ceff802c6673b4599f55d78d220ff430dc8dc7722a0102720c0f	9e5b16813506c1e5ccf43dc4f86e2a1bb23bf0251095bf7b727d072e94ec304a	measurement lock plus SRSS DFT source selections
0x6ADC	Cy_SysClk_IloStopMeasurement	sysclk	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_sysclk.c	667	fa7d3221a4a52f4cae68d291237c57541448539db05ddf0ba653fd0a04c08594	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	166b239c35f6bde04960673c8cb2e914b6ba619f7330532a572eff72411ffa35	d6f091002ec2c173e22b1e329faf76a7f1c9522f10144b72285a56488fd63fb7	measurement lock clear plus SRSS DFT cleanup
0x6B18	Cy_SysClk_IloCompensate	sysclk	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_sysclk.c	722	fa7d3221a4a52f4cae68d291237c57541448539db05ddf0ba653fd0a04c08594	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	runtime_touch_cat2_adapters.c	6d62d61ff7504fd2e3f182aabffe143b149d3f75a41c10a0185b73b63c3fff94	14e231cc1c0b4726c76bfed973466952befeeb95a40c9966d742e9ed8dc10796	100..2000000 us validation and ILO counter compensation arithmetic
