# SPDX-License-Identifier: MIT
entry	symbol	kind	status	license	source	product_semantics_asserted	raw_aapcs_register_behavior_complete	instruction_bytes	instruction_sha256	canonical_body_sha256	evidence
0x1226	open_cfw_touch_leaf_1226_passthrough	register_passthrough	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	ce17ae675f6fdfa0857a433c03e1470f229e6042e64b770be489f570fcad65c5	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1236	open_cfw_touch_leaf_1236_passthrough	register_passthrough	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	faae5b0599f776f7728d6f8efcd02bfe0097b969b1cdbbcbae546b63f362eccc	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x12A4	open_cfw_touch_leaf_12a4_passthrough	register_passthrough	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	9ae04c4902b12df4f3dbaa834f9464d7526f4fb4f38220d2658304ad2f09e098	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1366	open_cfw_touch_leaf_1366_passthrough	register_passthrough	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	eef2199645ffee218b9cfc4a149542c2250c58c54f2b37e2be0bc53134a5bb8f	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1370	open_cfw_touch_leaf_1370_passthrough	register_passthrough	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	0470b1af49b227eee148558a62222dd7a0b18ca723635930e1b96686101b3234	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1418	open_cfw_touch_leaf_1418_passthrough	register_passthrough	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	3afadd88d7f8768854fc7c088f6a9e2b034ceb1ae6c30c6029143dd4744ad2d6	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1480	open_cfw_touch_leaf_1480_constant_1	constant_return	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	4	64d23481cb6a254816fb9c4c9b22031f78ed0a6ece5a6b0f6849a3ee7f77a2bb	4965863e115ad0139419aeff41ac7496ef0cf3d5ea621cfcc14b392c0cc559a3	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1484	open_cfw_touch_leaf_1484_constant_128	constant_return	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	4	827664d7a48fb1b0d798876a8dc606e50de666cda171d709af4e14adbc6769cc	ee83b809b18e2bae1371f879c958640e6cdae4e420281eec606e905abaaa4c00	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1488	open_cfw_touch_leaf_1488_constant_128	constant_return	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	4	827664d7a48fb1b0d798876a8dc606e50de666cda171d709af4e14adbc6769cc	eba80a613e0fa2ee05b477f963ef8b54313f25a86a8f05390bb389e2bf21dbae	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x148C	open_cfw_touch_leaf_148c_constant_0	constant_return	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	2013177df517631080d7f7e957c86885b93c9a84cf103652afa2da5df23a0076	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1490	open_cfw_touch_leaf_1490_bounded_sum	pure_arithmetic	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	26	34d29269b688544ba949a8a1589744dfc00a8b9225b7759c751fcba94da396b5	5c14f204c34a94f6b37fbd0c463535fb55669a13d0500ff2b6a6ce6fef0f94a5	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x14AA	open_cfw_touch_leaf_14aa_constant_0	constant_return	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	bbbd8f8daf674b47039fc7e56aa65b31f1756a7003e75055ef0d0a27823b7d60	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1AB4	open_cfw_touch_leaf_1ab4_constant_0	constant_return	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	4	a7ddd513d149ea16fdd4db3f82267f83087aeaddd06b5dde5468adb704205fc4	2488c59d2af641b2f1150487bef36474ef0959b04850909fd262d3ed36d644f4	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1CA8	open_cfw_touch_leaf_1ca8_median3	pure_arithmetic	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	26	6b329f4b1437293361b1b5aae3668a1e8fe1853cae3279dfce6166eded90498c	332753ae56e17c6de4e89a4f5befe1082a3cfe5d5dab10110d0fa2d05075772f	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x1CDE	open_cfw_touch_leaf_1cde_blend_u8	pure_arithmetic	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	16	8d04d1554038e11a05f1f51845cc106bb27eb6a73a1af0ca0bf16b5ace4bb0b8	5b08a9e9cdcec337173b629cfcd02d6a162d8224ca87b3ed6a9936832bdf153a	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
0x2228	open_cfw_touch_leaf_2228_mode_scale	pure_arithmetic	clean_room_instruction_exact_source	MIT	runtime_touch_leaf_primitives.c	false	true	32	ce6737a477fc2b56e4299a0451ba05b0890de8e432730fa204c6b8366076a323	dfc76f5a42343560315952dc56fd7fe91a9c0c75dc78588761c2580c45af6d61	complete call-free Thumb body; independent C expression preserves uint32 register behavior; no pointer or MMIO access
