# SPDX-License-Identifier: MIT
entry	symbol	kind	status	license	source	direct_callees	eula_provider_body_admitted	resident_table_dependency	mmio_execution	instruction_bytes	instruction_sha256	canonical_body_sha256	evidence
0x0324	open_cfw_touch_platform_0324_configure	fixed_pair_configuration_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x680C	false	false	false	12	76cdace20c6436259e5a8420e9c6b8f850ee7ec6b259669c2a8466ab8ec14989	79873d0f5ff50ab8fc69aa915d04e64d783ca852e331c9bded08a12b446f2754	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x0338	open_cfw_touch_platform_0338_install	callback_install_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x7350,0x73A8	false	false	false	24	74f0aae50b2c2628970da5f6aece85398447cda4ad80b487febae56a6ef7ecea	a3b5211c8eee299aa21d87ac1ee8a3f15dfb0d419cb2b59cd79b0515fc9b3c97	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x0358	open_cfw_touch_platform_0358_sample	halfword_sample_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x0D4C	false	false	false	22	cd8fae838ff4b175d15f11644012d868bfc45f41d139cd0878ead30f4db43dff	91339171589435147b895e24f582896951e8727cf2e143e8747ea2c98fb606cd	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x0648	open_cfw_touch_platform_0648_configure	capsense_configuration_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x2998	false	false	false	12	22cf82a138649f908101fbfa91f91a3322e7b067c6d1795eee222790db44d52e	53b5c81d85190b86aea8c40866413c1bd5211fbcbb0d6f014fcd43b9e4d369be	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x09A4	open_cfw_touch_platform_09a4_start	power_callback_start_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x70B0	false	false	false	10	9e0b35cfee377b9eca5d0d1cb4ddb063e6582ed7a4d0ef733aecb57c6b410a82	ea646be64fbbdb0d4674ea659776d73c29d1c82d8c2cb6536d2c09f2f1940bb7	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x11A0	open_cfw_touch_platform_11a0_sequence	four_stage_startup_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x11D0,0x1228,0x1238,0x12D0	false	false	false	20	d83fed792389ee352cf5cc6f61a748bf07db6d500eee10e3ae3d84e9119f188d	70db2b4a55aee79f230d02cba1c9492dad64bbd3d7a6c016a602fbd6a2aa1a59	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x11C4	open_cfw_touch_platform_11c4_sequence	five_stage_startup_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x11A0,0x11B4	false	false	false	12	c6aa537f5fd796298d8cced036f927788ac3ac35918d192bf92bf80476ab9287	d974bfc727d837bcdb3c5aa3a9fc1fd4169a87d9b1d45f77378a4a07ede326a9	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x1238	open_cfw_touch_platform_1238_routes	six_route_configuration_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x5BE4	false	false	false	70	c40a8b088516ffc95ea6cb22359469689ef602bc734b541bac568dbd9ed831a2	399ad3bdc934e3346359b50a5b9132868ce7fd6d105272afa5af684f423db268	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x1334	open_cfw_touch_platform_1334_probe	power_probe_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x70B0	false	false	false	20	d53925675ebba08094266765709a3857e0894709a29a5061d1bebaafb0b99f3d	3e7aec7705bcfc5e877f1fac2531f9b1610c72f24109917d3a65933cd33fb0c0	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
0x1350	open_cfw_touch_platform_1350_initialize	startup_and_probe_wrapper	clean_room_platform_wrapper_source	MIT	runtime_touch_platform_wrappers.c	0x11C4,0x1334	false	false	false	12	43b4395768731222b06671eddfcc5ce1d25b71eaeca6c2380fef0f9a1cd1cffa	78fad1737e652a6b9934e7312709d4cd8d5e5ec3ef8b54a656315b9d4ed65fa6	complete wrapper flow with fixed tokens and injected providers; no vendor body, resident table, fixed-address access, MMIO execution, reset, or product loop admitted
