# SPDX-License-Identifier: MIT
entry	family	status	license	concrete_source	implemented	instruction_bytes	instruction_sha256	reason
0x0158	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	10	c36ba6f99ebece2e63d3c5e5c6b024253f3c952e6d75e88542103a3e46e33e7d	application behavior or typed pointer/callback ABI remains unestablished
0x0164	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	164	0532c4e562f17ce951bbbf23d2bc295885f0c0dae97463ae2d28df6eecb88d5b	application behavior or typed pointer/callback ABI remains unestablished
0x05E0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	86	4f0dd0098f258592123cdb89a2ccda97f650c40d37b97a7b732d71f5d82cc0fd	application behavior or typed pointer/callback ABI remains unestablished
0x09B4	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	494	afb8cc9dc05f7e2578341aa09459d0919ac527a7954ba84158c7145c33f18c66	application behavior or typed pointer/callback ABI remains unestablished
0x12A6	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	4	1262b54900d7c03b982e9985409063fac8226d831429b16fcf3d3f95e0f88802	application behavior or typed pointer/callback ABI remains unestablished
0x12AC	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	32	3748d527662a5e99b1ee5fe46ee1e35e91b99b556047da03c4d0efc554b488db	application behavior or typed pointer/callback ABI remains unestablished
0x12D0	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	88	2706e1b6c528901e234b7a50d22b0277eb9c9fefddc0d6ab4f7654343b977e7d	application behavior or typed pointer/callback ABI remains unestablished
0x141C	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	16	88ecb1cfa051967f0c30929aec666a5817e96cb58bbaed7d5350568cbadc36eb	application behavior or typed pointer/callback ABI remains unestablished
0x1434	platform_startup_configuration	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	54	e3c02f828122f2ea8e8aba24d13d49abbd5705d8a97dedaa03aa0e5eee5531fd	application behavior or typed pointer/callback ABI remains unestablished
0x17BE	touch_application_processing	typed_clean_room_reimplementation_contract	MIT-for-new-clean-room-code	false	false	52	83b634b39e6cf1f6136626647cc7fef59c1fa1e2df5945589fa2e643e328e580	application behavior or typed pointer/callback ABI remains unestablished
