# SPDX-License-Identifier: MIT
scope	coordinate	start	end_exclusive	bytes	category	bucket	address_set_sha256	content_sha256	note
fwpk_wrapper	blob	0x0000	0x0020	32	generated_transport	generated_transport_fill	afbc67011b6f94a508935ad8edcbdd3c9b56c4db336f8d3847a8a1815183828f	4e382d4f8342b367424774e314e10e30a7b568251e0f27f1192289e2bd327773	FWPK header and type-3 record descriptor
reachable_code:external_eula_clean_room_required	payload	0x02F4	0x57DC	1948	external_eula_clean_room_required	typed_external_or_unsupported	0a6985fa2fa26394ed2b1ef9fbe9a3627fe22dea17c4146a0b2e8e031a326db7	e709711094fc3ba335485261738593e3a802f849778aea422d9a95cce3046a3d	non-contiguous reachable instruction bytes; shared tails deduplicated
reachable_code:project_fail_closed_contract	payload	0x0378	0x4B62	1560	project_fail_closed_contract	typed_external_or_unsupported	f0d46143f1850715262cb60e02c29fabedfae3266070b0001056fc1c6e69d0fd	e42dbf56eddce4d69eef82c7270f562e5d3fa54f58494d2d2179d2db841c6249	non-contiguous reachable instruction bytes; shared tails deduplicated
reachable_code:project_source_candidate	payload	0x0268	0x680A	816	project_source_candidate	project_source_candidate	04cd296237e5425ca8f2e8c8792b130093381a37fa0619b66bba97385c926853	551a634caa0d0737b590ad2d404e584709655b88b897abc2c0c4cd78a9471bfc	non-contiguous reachable instruction bytes; shared tails deduplicated
reachable_code:still_unclassified	payload	0x45D8	0x4684	142	still_unclassified	still_unclassified	d573982b002cdaa5721dc6e94bd0576559e98d4b6f7b575134bea928a09f2326	14498d609d277c2121b8c8fab4a8cccbbc14d18c003e4e48402eeb2e0025faed	non-contiguous reachable instruction bytes; shared tails deduplicated
reachable_code:unsupported_intentional_noop	payload	0x0BE0	0x0BE8	8	unsupported_intentional_noop	typed_external_or_unsupported	982aa34981fe60e7f56bd34fdf5af7d9738ff2731877c2ceb3422672642ddbc8	d5af164eb1253e2dc1faf4d9271ca5119221d2f156233a278dcbf632803173de	non-contiguous reachable instruction bytes; shared tails deduplicated
reachable_code:upstream_apache_provider	payload	0x1180	0x70A4	1068	upstream_apache_provider	typed_external_or_unsupported	c42fe9dbd67096d1baf0e5891e6d8b0c33829b7d0606f70f74a0446c3b8ef3c0	90ffe33ae07838661d09565842aac16f439c91b95b49e8ac288502938d9cc2a3	non-contiguous reachable instruction bytes; shared tails deduplicated
reachable_code:upstream_runtime_provider	payload	0x73C0	0x773E	774	upstream_runtime_provider	typed_external_or_unsupported	fc3f472a97864eac09ef4aab04e5e60f93ea24bc884806eafae997a291b3a2a7	fe6b7b902fa7ca27b36f6a57fedc4f3850937d16d74fe3c5a9926eac404a16f3	non-contiguous reachable instruction bytes; shared tails deduplicated
code_unmapped_or_data	payload	0x00C0	0x775C	24048	still_unclassified	still_unclassified	490cbb6175e56abb364995c60db172e13efda57a42c5ba52dba6928524fc12d0	0536be4722eded55f3526bb864ee48f1f22bb0ede233ab73fc0d04ad6f571d7e	literal pools, rodata, unreachable code, and undiscovered entry bodies are not distinguished
vectors	payload	0x0000	0x00C0	192	typed_startup_data	typed_external_or_unsupported	2d5e3096b4525412bfe403ef48edaca56d7c04ef99a247a0b30e2f635e8f7979	62575e83fb7b4718742d51d7b5e007ef00a51604b7ed801f4e59a748956e8261	ARMv6-M shape; reserved core slots 4-10/12-13 zero; 13 external IRQ slots
