# SPDX-License-Identifier: MIT
entry	stock_candidate	admitted_symbol	admission	source	provider_commit	license	instruction_sha256	evidence
0x76AC	exit_wrapper	open_cfw_touch_runtime_exit_adapter	runtime_mit	components/shared/touch/runtime_touch_runtime_adapters.c	-	MIT	ab2206cf48496db6951d4b2730a1dfa8eebc18742f9fc7851b52810062891f63	optional fini hook followed by mandatory halt provider
0x76E4	__libc_init_array	open_cfw_touch_runtime_init_arrays	runtime_mit	components/shared/touch/runtime_touch_runtime_adapters.c	-	MIT	af3f65a359e82cdfb692ebd2ae063f2a27b25dd3d90365d05624aaa7d319ef27	ordered preinit then init arrays with null entries skipped
0x7740	_exit_halt	open_cfw_touch_runtime_exit_adapter	runtime_mit	components/shared/touch/runtime_touch_runtime_adapters.c	-	MIT	575fc8fa9e92ffe7d57a6aef6f1168f39da04f07d6bcd5b5e17883bff7b33165	non-returning target represented by a mandatory fail-closed halt provider
0x7744	runtime_init_stub	open_cfw_touch_runtime_init_stub	runtime_mit	components/shared/touch/runtime_touch_runtime_adapters.c	-	MIT	2034bae0c12b24c25cc89225f45f5e09ac7564f739f03f71b96fc5e1aecc0000	empty callee-saved-register-compatible initialization boundary
0x7024	Cy_SysLib_DelayUs	Cy_SysLib_DelayUs	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_syslib.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	ea5dc16e63fcc13363c2c5e46bb7625701840a0842b3f6e648f11e5e8c2af831	exact uint16 microseconds * cy_delayFreqMhz then Cy_SysLib_DelayCycles
0x7144	Cy_SysPm_ExecuteCallback	Cy_SysPm_ExecuteCallback	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_syspm.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	8d9c95964ca38b717928c098b5a439f269ff1108d60c9af6f346bf28f300a882	forward/reverse registered-callback execution topology
0x7228	Cy_SysPm_CpuEnterSleep	Cy_SysPm_CpuEnterSleep	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_syspm.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	b01d631526cd0713fcad4ce2ebc3afd9df8444d85e74be8e13965377e729b83b	CHECK_READY/BEFORE/no-callback sleep/AFTER or CHECK_FAIL topology
0x728C	Cy_SysPm_CpuEnterDeepSleep	Cy_SysPm_CpuEnterDeepSleep	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_syspm.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	bdd452274bebdce4e4477d1037ffefbf459b1e43c75d11423726434bc174ab18	CHECK_READY/BEFORE/no-callback deep sleep/AFTER or CHECK_FAIL topology
0x72F4	Cy_SysTick_ServiceCallbacks	Cy_SysTick_ServiceCallbacks	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_systick.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	906e1fce8eaafa95081f67c2d866c8c796259e3f616c492a42d4e2e5b2ab94fd	COUNTFLAG gate and ordered five-slot callback traversal
0x7320	Cy_SysTick_Enable	Cy_SysTick_Enable	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_systick.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	840421b206ab4311a51771ed1814d0d1524ea460f0ebcc93a27ec718dd0a2dbe	sets TICKINT then ENABLE in SysTick CTRL
0x7338	Cy_SysTick_SetClockSource	Cy_SysTick_SetClockSource	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_systick.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	62a12c998cd10c3f340edeb68c643e6ef6590288cd19bc6dc65eeeca469bc2c4	clear/set CLKSOURCE bit from enum value
0x7350	Cy_SysTick_Init	Cy_SysTick_Init	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_systick.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	922d6cde0f9ca45972dd69c5c5f8d10cb87f3ea517176b413e88656b4983fbae	five callbacks cleared, vector installed, clock/reload/clear/enable sequence
0x73A8	Cy_SysTick_SetCallback	Cy_SysTick_SetCallback	cat2_apache	https://github.com/Infineon/mtb-pdl-cat2/drivers/source/cy_systick.c	35f1714623cfea682d5e285af80d50416b4c7bbc	Apache-2.0	b88dd21f71847063c4d508a5bece3857cdbdb019d445b6830eaf825d57efc5f3	five-slot bound, return prior callback, install replacement
