metric	value
retained_path	app\gui\translate\translate.c
linked_functions	11
ghidra_discovered_functions	9
additional_recovered_functions	2
path_anchored_functions	7
body_bytes	2504
body_concat_sha256	0d658c74cae6ac517836c984d461773ab1e53abb07b2bf101159fe01c3091aef
physical_interval	[0x0059E9E2,0x0059F510)
physical_bytes	2862
physical_sha256	eb7b8d2e1128ca37ad70a07f84c651ce48d3b30e945752ce097a9d2282924f97
noncode_bytes	358
noncode_concat_sha256	3043136eb5e2a571eda1d79fc2c47c5f3fa36e8426630b9492618c2f169ba892
reachable_instructions	931
reachable_instruction_digest	7a49bf110fcc1367aff46e38cf858515c78a9af7bbabecbfe0c23641c73f3717
direct_bl_entry_sites	23
direct_bl_entry_digest	c1d8d5d54fc3d6e500f73e3f739f4ee0502f5d09f868c322c850920fb80550d6
stored_aligned_function_entry_pointers	2
unaligned_exact_entry_byte_windows	1
raw_instruction_word_interior_collisions	2
direct_body_calls	168
internal_direct_body_calls	12
external_direct_body_calls	156
direct_body_call_digest	5635d5d180c4ab2ae26bfc727071bcaf688de3145a3bb4df508cefb54357646a
indirect_body_calls	0
strict_interior_ingress	0
third_party_dependency	EasyLogger IAR runtime LVGL CMSIS-FreeRTOS and nanopb
private_producing_commit_observable	false
production_routed	false
