stock_start	stock_end_exclusive	stock_sha256	source_path_anchor
0x0059E9E2	0x0059EA10	1f7d1b93bc9848ccf87f023cb9fea268c9cda3cc9af2afea674966a8a4d83cfd	no
0x0059EA64	0x0059EB0E	755dc33b06bbc48e88230718c726d50e9eeb9471c1de18e66332a19f94b5fc7b	yes
0x0059EB0E	0x0059EBC8	0c4279fa9b118f43178204469c279b44e8152710c9bd2cb9a60f3fac0312b8c6	yes
0x0059EBC8	0x0059EC28	52b170e429cec4b51c2b2e34fbd4998ae77c84d3940f01e6e25d25546a2b6ad2	yes
0x0059EC28	0x0059ED06	c34001178da7382ef0b8e1d5bf92de6cd7127539b490c6b2fcea7192f6389525	yes
0x0059ED06	0x0059ED1C	e6f0e0ea7567467a56733d8700638953cf672cc288c0e5692b93ca39f04a15fb	no
0x0059ED1C	0x0059EDBA	885a15e78dd24b228d4bf4938593f229e5258d1fe7163f4eabd9b638909475a0	yes
0x0059EDBA	0x0059EFE0	6f5fa8d12923648da4fa44206f38ee6952b0f1c46494e4b788f7a9f50cb73689	yes
0x0059EFE0	0x0059F0EA	c3967fc8f85d187420ec683e12544797536335bb545631e1b8f999c4bb5edf8e	no
0x0059F0EA	0x0059F236	289b40ab3a7e9ce21123fb770cd571b5a2f4715107b409924f5b1aa28caff5a4	no
0x0059F236	0x0059F3FE	2a56cb4177c41d36b8311f87bb9dfb98d94f3b98dcc7ff77cc6e0a6572a5dfac	yes
