ordinal	function	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_path_anchor	stored_entry
1	translate_ui_0059d380	0x0059D380	0x0059D3B2	50	1e3c9a0bc9dc2a44f65eb33fb385a163be4b41ace992cb66dd6e77055fa4e7cc	no	no
2	translate_ui_0059d3b2	0x0059D3B2	0x0059D400	78	88b3a6f21c861f741f3252e8c35e45eb051f5dd715778c1a29fceea5193fddaf	yes	yes
3	translate_ui_0059d400	0x0059D400	0x0059D476	118	0ee147979e5f85f1c39b0e762574beaa4190fd3b4984d801d4054ea010e429fc	no	no
4	translate_ui_0059d476	0x0059D476	0x0059D50C	150	72c93688a2f4035b670555e73396fb1f82803ac53c3adea95c4c66402ff1303d	no	no
5	translate_ui_0059d50c	0x0059D50C	0x0059D6B6	426	03400606aa93a8469c6520de9e5c0ff87433362494d4d51bdbc97ad65775b0a7	no	no
6	translate_ui_0059d6b6	0x0059D6B6	0x0059D850	410	6b23ced9a7d900627d0fe05301ba67205d99df346e4d5a1ff9d158e9875fc62b	no	no
7	translate_ui_0059d850	0x0059D850	0x0059D8EA	154	9d2024a1ff653c16bc9971d36708ebeae9c6ed6dd3e02ac83da1bf1f47007ce7	no	no
8	translate_ui_0059d8f0	0x0059D8F0	0x0059D9D4	228	3e53c28340769899fa05dbdee92e6689a31cf50c5f615c814146cd348e5c4e78	yes	no
9	translate_ui_0059d9d4	0x0059D9D4	0x0059DA28	84	4a059eff69e626855d52106a9a064c8bea79dddb7592a46d2dcbeb94075e0e7e	yes	no
10	translate_ui_0059da28	0x0059DA28	0x0059DA94	108	eb33ba58f2f498a51b194438298810e0722dcf011bd89495980e653ea265f3e6	no	no
11	translate_ui_0059da94	0x0059DA94	0x0059DB5C	200	415808ec62fd18f500928fc69d71baa7fc4458789d3b65b3a7cb1e2bdf46640a	no	no
12	translate_ui_0059db5c	0x0059DB5C	0x0059DB66	10	eb74f7af558428d8195bb4344fa684b63f3c73c13bdbdcb0dfe3d950dd552f74	no	no
13	translate_ui_0059db66	0x0059DB66	0x0059DB80	26	92d1cdc5b8480b789bf768d5b44d2279c3344d954d69c5e86f8afa7902cf12d3	no	no
14	translate_ui_0059db80	0x0059DB80	0x0059DB9A	26	4a9b013fb442c492ab5d4331f8bbe6a4ff9a512ca2b8f5752e24627ae00c9e9d	no	no
15	translate_ui_0059db9a	0x0059DB9A	0x0059DE2A	656	0a8ba64b9146e7193decfc87ef963a3e4d06943bd3d04084d1faff228f8828c8	yes	no
16	translate_ui_0059de2a	0x0059DE2A	0x0059DE82	88	3a64bad616f30a276f721e54391907564ce74d919f6bed4e1c077010b9a98a7a	yes	no
17	translate_ui_0059de88	0x0059DE88	0x0059DEF2	106	ebc7d87f2bbc629c8857e3f43b5f0e81c1ed7faad1cf39460e10a477ae418a47	no	yes
18	translate_ui_0059df04	0x0059DF04	0x0059DF78	116	6d38f96ba24c8ade20c67c4f98a47b2c58ad2d7748bcd64c45a29f76e9b25d05	yes	no
19	translate_ui_0059dfa0	0x0059DFA0	0x0059E110	368	f2fe67c25dd0c6d800450f4b1efa6b8a79d28884bc04966558be8d7b3e147820	no	yes
20	translate_ui_0059e11c	0x0059E11C	0x0059E176	90	01067c771524ddb9694f4343c6b253b99b6a260b84019e35cedf9599dd591148	no	yes
21	translate_ui_0059e176	0x0059E176	0x0059E1D0	90	39e76671138305ff0013ddb6c4fb3cb5f604b205a8cd50d545e7e6e0a7cbe578	no	yes
22	translate_ui_0059e1d0	0x0059E1D0	0x0059E1EA	26	f54907ec5e279624d88c264262621e7acaa2493cbe338cd8fde54ef067a31207	no	no
23	translate_ui_0059e1ea	0x0059E1EA	0x0059E23E	84	0b2dfa43fcdf5e9d093bc759e1361106a056fdff78a07fe51d01ba840f76509e	no	yes
24	translate_ui_0059e248	0x0059E248	0x0059E25C	20	51052b048df03668e74688ea35fabc5446f1168ce91b7b1acbe849a80ed1f08d	no	yes
25	translate_ui_0059e270	0x0059E270	0x0059E3AE	318	ef2ed149005b94647bf54f71af16f5f5cf0cbc3e2575b727a3cfaf6b2aa0116f	yes	yes
26	translate_ui_0059e3c4	0x0059E3C4	0x0059E480	188	c1f125ee9d05417b85e859851ceb4bd404785e4882118de6e7bef0afcf786c49	no	yes
27	translate_ui_0059e498	0x0059E498	0x0059E54A	178	375c950e8458c6dd45081a543333620ffb88e087703615790e2aa678da059bc2	no	yes
28	translate_ui_0059e55c	0x0059E55C	0x0059E5C6	106	901d0b5fe06731c15d8e51a65d0fd2e57dc4deba2c1e89cd69640adaebc7b44e	no	yes
29	translate_ui_0059e6d0	0x0059E6D0	0x0059E9E2	786	c3ce8a7d4a0c00a26675322ceb5494b3d4f4becc210bff48812d1fe7af1eafeb	no	no
