metric	value
retained_path	platform\protocols\transport_protocol\transport_protocol.c
linked_functions	13
path_anchored_functions	7
additional_recovered_functions	6
body_bytes	4134
body_concat_sha256	28112dd512e93b63735bd152bacc19314949603ceec591e0f5e4900645ba3bb1
physical_interval	[0x004B892C,0x004B9A80)
physical_bytes	4436
physical_sha256	586bbbe6936ab46ca99434ca4d05d85a8b8031d457cb9b3d587e21f96adff3d4
literal_pool_regions	4
literal_pool_bytes	302
literal_pool_concat_sha256	3ee27abef3889ff223b4c47ca6a27bb2400e282effc396757f76fe8fab422edc
path_run_address	0x006DEC74
path_pointer_cells	0x004B90FC,0x004B9A0C
direct_bl_entry_sites	26
external_direct_bl_entry_sites	5
direct_bl_entry_digest	c4d0eb953e9748443f0363c724d5d16b275a1ddb024b755498f1672036dda55d
direct_body_calls	193
internal_direct_body_calls	21
external_direct_body_calls	172
direct_body_call_digest	ed1e1140f34585ae594ab96c5001c08185037ee9e945df71cd03f4d1988fbb0d
stored_entry_pointers	2
stored_entry_pointer_digest	52b7084bf03cc257199c63cdaffaeb0960903653a3ea025d8ea6ef483bb49f60
strict_interior_bl_decodes	0
unrecovered_direct_object_targets	0
tinyframe_direct_calls	0
tinyframe_stored_pointers	0
crc_provider	first-party CCITT-FALSE/resumable leaf at 0x0049ACD4; source-owned in linux-clang
third_party_boundary	provider-only CMSIS-FreeRTOS mutex/tick; Cordio WSF message; indirect TLSF heap; EasyLogger diagnostics; no upstream body embedded
historical_source_available	false
prior_g2_named_functions	13 in identical order and exact body sizes
production_candidate	components/apollo_main/core_overlay/transport_protocol.c
production_source_functions	13
production_compiled_text_bytes	2538
production_alignment_bytes	14
production_strict_relocations	55
production_stock_body_bytes_replaced	4134
production_retained_literal_pool_bytes	302
production_routed	true
software_functional_gap	false
hardware_validation	deferred by project direction
hardware_evidence_required	closure-specific live acceptance evidence documented by the analyzer and reference audit
hardware_blocker	An authorized responsive G2 peer is required for future live single/multipart framing, retransmission, timeout, CRC-failure, and dual-glasses callback evidence; the authorized right temple is not under test because qualification is deferred by project direction and the left temple must remain stock.
