metric	value
retained_path	framework\sync\uart_sync.c
linked_functions	5
ghidra_discovered_functions	5
restored_functions	3
path_anchored_functions	2
raw_path_references	6
raw_path_referencing_functions	2
body_bytes	758
body_concat_sha256	abcaf8e394fffe0ca78733c6669bd0c8d1c9e5af2d3b787cc670e53f70ea685d
physical_interval	[0x00541790,0x00541AF8)
physical_bytes	872
physical_sha256	95687bbb2342d095658c6986dac9270648f8b3afdf69a34aabd78a969b9f576c
outer_pool_bytes	114
outer_pool_sha256	9018b72b84bdcdca6891521de86f1d504d539c5385cc119b9469b89527b71014
reachable_instructions	297
instruction_digest	bf3108a63a6c98c085b62c25d4a4d7f1dd6792bc299ded75a926f8587e3e1893
direct_bl_entry_sites	4
direct_bl_entry_digest	5f90c0a8dc64377cee620d15fa44e67e97cd4c6120c7e11b662389b3c750f4d5
strict_interior_bl_entries	0
stored_exact_entry_pointers	2
direct_body_calls	63
internal_direct_body_calls	1
external_direct_body_calls	62
direct_body_call_digest	39b6bae2a0c6e29987505d5c1919ac694942b3acbf3f97677afb247f45887e53
indirect_body_calls	1
embedded_third_party_definitions	0
third_party_dependency	CMSIS-FreeRTOS TinyFrame EasyLogger IAR DLIB and an AmbiqSuite-backed first-party UART adapter
new_version_discriminator	false
private_producing_commit_observable	false
production_routed	false
