metric	value
retained_path	app\gui\EvenAI\ui_even_ai.c
linked_functions	43
ghidra_discovered_functions	15
restored_functions	28
path_anchored_functions	2
raw_path_referencing_functions	16
raw_path_references	21
body_bytes	8004
instruction_bytes	8000
body_concat_sha256	5f99e8daf09fd45e0a014b97ef9ea84e3147c78a9c5057198f5b8f4e299ebe63
physical_interval	[0x004E54C8,0x004E75B0)
physical_bytes	8424
physical_sha256	5e86ec5580e55c7b3576559f6e6574c86364976c7196c9246743b53b194f3122
outer_pool_regions	15
outer_pool_bytes	420
outer_pool_concat_sha256	01c56aab9bcd2b7e29752054f55cb30c40ac56dbf619ce2110e82c6909ea9c87
inline_literal_regions	1
inline_literal_bytes	4
inline_literal_interval	[0x004E6FD0,0x004E6FD4)
direct_bl_entry_sites	131
direct_bl_entry_digest	9552bee2789cb471fdc26926db92f3d32ffd1832f79d94d1a0adbf2ffde26f9c
stored_exact_entry_pointers	1
stored_exact_entry_pointer	0x004E7598->0x004E5D17
direct_body_calls	512
internal_direct_body_calls	99
external_direct_body_calls	413
direct_body_call_digest	16bc90adba5cc7755b78429c511671e075c3c4bce87829f1881b277303088eb6
indirect_body_calls	0
embedded_third_party_definitions	0
third_party_dependency	LVGL 9.3-compatible, CMSIS-FreeRTOS v10.5.1, EasyLogger 2.2.99-compatible core, and bounded IAR DLIB
new_version_discriminator	false
private_producing_commit_observable	false
production_routed	false
