stock_start	stock_end_exclusive	path_anchored	ghidra_discovered
0x004E9DD4	0x004E9E06	no	yes
0x004E9E06	0x004E9E32	no	yes
0x004E9E32	0x004E9EB8	no	no
0x004E9EB8	0x004E9FD6	yes	yes
0x004E9FD6	0x004E9FDE	no	yes
0x004E9FDE	0x004EA00A	no	yes
0x004EA00C	0x004EA7E2	yes	yes
0x004EA800	0x004EAC40	yes	yes
0x004EAC40	0x004EAC50	no	yes
0x004EAC60	0x004EACB6	no	yes
0x004EACC0	0x004EACF0	no	yes
0x004EAD10	0x004EAF76	yes	yes
0x004EAF76	0x004EB1B2	yes	yes
0x004EB1B2	0x004EB1C0	no	yes
0x004EB1C0	0x004EB31C	yes	yes
0x004EB33C	0x004EB494	yes	yes
0x004EB4A4	0x004EB740	yes	yes
0x004EB7B8	0x004EBDD2	yes	yes
0x004EBDFC	0x004EBF1C	yes	yes
0x004EBF20	0x004EBF26	no	yes
0x004EBF5C	0x004EC218	yes	yes
0x004EC2DC	0x004ECE48	yes	yes
0x004ECE5C	0x004ECEC0	yes	yes
0x004ECEC4	0x004ECEE2	no	yes
0x004ECEE8	0x004ECF3A	no	yes
0x004ECF3C	0x004ECFAE	no	yes
0x004ECFC8	0x004ED046	yes	yes
0x004ED058	0x004ED0E8	yes	yes
0x004ED0EC	0x004ED0F4	no	yes
0x004ED12C	0x004ED36A	yes	yes
0x004ED37C	0x004ED440	yes	yes
0x004ED440	0x004ED52E	yes	yes
0x004ED52E	0x004ED6C0	yes	yes
0x004ED6C4	0x004ED6E0	no	no
