stock_start	stock_end_exclusive	path_anchored	ghidra_discovered
0x004EFF94	0x004EFF9E	no	yes
0x004EFF9E	0x004EFFA8	no	yes
0x004EFFA8	0x004EFFDA	no	yes
0x004EFFDA	0x004EFFFC	no	yes
0x004EFFFC	0x004F091C	yes	yes
0x004F091C	0x004F0990	yes	yes
0x004F0998	0x004F0CAA	no	yes
0x004F0CC0	0x004F0DFC	no	yes
0x004F0E18	0x004F0E8C	yes	yes
0x004F0E94	0x004F0F08	yes	yes
0x004F0F1C	0x004F0F26	no	no
0x004F0F26	0x004F1010	no	no
0x004F101C	0x004F10EE	no	no
0x004F10EE	0x004F11C0	no	no
0x004F11C0	0x004F1272	yes	yes
0x004F1280	0x004F12F6	no	no
0x004F12F6	0x004F1382	no	no
0x004F13A0	0x004F153A	no	no
0x004F1544	0x004F1886	yes	yes
0x004F18AC	0x004F19DE	yes	yes
0x004F1AB8	0x004F2208	yes	yes
0x004F2210	0x004F225C	no	yes
0x004F2264	0x004F2280	no	no
0x004F2288	0x004F2294	no	no
0x004F2294	0x004F230C	no	no
0x004F2318	0x004F23CE	yes	yes
0x004F23E4	0x004F24C2	yes	yes
0x004F24CC	0x004F251C	no	no
0x004F2554	0x004F27F6	yes	yes
0x004F2804	0x004F28DA	yes	yes
0x004F28F0	0x004F2ACC	yes	yes
0x004F2ACC	0x004F2B30	no	yes
0x004F2B30	0x004F2B94	no	yes
0x004F2BBC	0x004F2CD8	yes	yes
0x004F2CEC	0x004F2E92	no	no
0x004F2EC0	0x004F3068	yes	yes
0x004F3084	0x004F311E	yes	yes
0x004F3128	0x004F31B2	yes	yes
0x004F31C8	0x004F324E	yes	yes
0x004F326C	0x004F335E	yes	yes
0x004F3440	0x004F3F6E	yes	yes
0x004F4030	0x004F45D8	yes	yes
0x004F4670	0x004F4EBA	yes	yes
0x004F4ED8	0x004F4F3C	no	no
0x004F4F3C	0x004F4F5C	no	no
