metric	value
linked_functions	13
body_bytes	2358
body_concat_sha256	752affeb25a07c832350240ee0ebcdf783cd329b52c6139a9cceb8b6d10fdc71
physical_interval	[0x0059C820,0x0059D244)
physical_bytes	2596
physical_sha256	0429d9a36a81cb2442d958e6c6663e94115aeea1b0f83c95ec01e3d15e2ec836
owned_noncode_interval	[0x0059D156,0x0059D244)
owned_noncode_bytes	238
owned_noncode_sha256	eb8d630ca20548c42d3d8fdf0fe168e8c0daecfc331e33334460de56d247ff14
direct_bl_entry_sites	30 total / 19 intra-TU / 11 exterior
direct_bl_entry_digest	d075c1dc015a7dc9201919c65b06d4ef03ac45cd8f1acb1d7427fa0fd7332afd
exterior_bl_entry_sites	0x005926A8->0x0059CF1A;0x00592716->0x0059CCDC;0x00592754->0x0059CD86;0x00592786->0x0059CC40;0x005927BE->0x0059CC40;0x00592E2A->0x0059CE1E;0x005BBD98->0x0059CF1A;0x005BBE36->0x0059CCDC;0x005BBE78->0x0059CC40;0x005BCDD4->0x0059CE1E;0x005BD03C->0x0059CCDC
exterior_bl_entry_digest	1185d91a04b0e41c452685b15ffb9c6ba95c2121ecc9310ba83728577a968c3e
direct_body_call_sites	151
direct_body_call_digest	efdda74cd55ff8f102237617a11b90be19b36f8affa13d97de7523fcd06c66d5
stored_entry_pointers	0x0059D200->0x0059C867 callback only
stored_entry_pointer_digest	7f3e83e3bacf5ccccc53888043a0b6bcd5a5596c8ad0943a8f667a920012295b
stored_strict_interior_pointers	0
raw_interior_byte_windows	0x005119B7->0x0059D0F8;0x0059D5C7->0x0059CCF8;both odd-byte instruction/data overlaps
raw_interior_window_digest	d89fdb2d18eeaa65e83c4899dcf45613d1eb0a74d495ec73701186eaf1c4032c
direct_b_w_entry_or_interior_targets	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\driver\uled\drv_mspi_uled_common.c
request_abi	28 bytes; handle +0x18; data +0x14; instruction +0x0C; direction source +0x00
hal_transfer_abi	24 bytes; direction +0x06; source field +0x07; data +0x14
completion_abi	semaphore global 0x20074534; status context 0x200007EC; callback 0x0059C867; timeout 3000 ms
mode_templates	serial template pointer 0x20074538; quad template pointer 0x2007453C
production_routed	false
ownership_bytes	0
