recovery_order	function	naming_confidence	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	ingress	evidence
1	NVIC_EnableIRQ	exact CMSIS semantics	0x0059C820	0x0059C83E	30	804468ec831eb029b8e69239d43b1de9b243e3101992a52ac149eac51738bd1d	intra-TU BL at 0x0059D13E	writes ISER bit for nonnegative IRQn
2	NVIC_SetPriority	exact CMSIS semantics	0x0059C83E	0x0059C866	40	1ef740e29e1fe636e4a95fe66a00ae259896cbecb92d3b645d19903e85020bd6	intra-TU BL at 0x0059D138	writes external or system-handler priority byte with four implemented bits
3	mspi_transfer_callback	descriptive high confidence	0x0059C866	0x0059C876	16	be89e2c81b5bf964520501647fbe71b99620b399fced492d6c28e02539a43409	stored Thumb pointer at 0x0059D200	stores completion status through callback context then releases semaphore
4	am_devices_mspi_device_reconfigure	exact retained function string	0x0059C876	0x0059C980	266	5e8785ffb95aadc3c3d35d60b19deb17c8e88bc3c4370d0097258ccec38d4d4b	BL sites 0x0059C986 and 0x0059CA54	disable, device-configure, enable, then apply pin configuration
5	am_devices_mspi_set_serail_mode	exact retained typo/string	0x0059C980	0x0059CA2C	172	a808ed9321044b8bf29c07a6ceb09c216cb849431469477bf2db57b5d272f888	five intra/exterior BL sites	reconfigure from serial template then issue control request 0x18 with low mode byte zero
6	am_devices_mspi_set_quad_mode	exact retained function string	0x0059CA2C	0x0059CAFC	208	8245451a06dea1f83df4b1864e37fa121c4673d46ceefefbcb98796b477ba791	five intra-TU BL sites	clone quad template, reconfigure, then issue control request 0x18 with mode byte 0x10
7	mspi_transfer_build	descriptive high confidence	0x0059CAFC	0x0059CB42	70	5b72d4f95c65080454ddb30f03ccde8031977f1ead8259db285d0019b7450349	three intra-TU BL sites	maps the 28-byte request into the 24-byte HAL transfer descriptor
8	uled_rw_param_validate	exact retained function string	0x0059CB42	0x0059CC40	254	4bac8caebe04137d9c9e46c6c24455d58bb7d2eab0e3b58530e407ddcf1dde1c	four intra-TU BL sites	rejects null request, handle, or data pointer
9	am_devices_mspi_read	exact retained function string	0x0059CC40	0x0059CCDC	156	0d72e12e7bef0bc820098a81c366f365e444687299aecf4217054f22a59fca77	four exterior BL sites	serial-mode blocking read followed by quad-mode restore
10	am_devices_mspi_write	exact retained function string	0x0059CCDC	0x0059CD86	170	8eb1ad4ed8226c1cbc8842010a16ed3ac42f89b5d5fcb0a9087c9fbadf2709b9	three exterior BL sites	serial-mode blocking write with cache clean followed by quad-mode restore
11	am_devices_mspi_qspi_write	exact retained function string	0x0059CD86	0x0059CE1E	152	ff4a5a8e2b114ffc5b4fefe113c256e88b61f511cfa3a75786e1e0a6b4ed0fba	exterior BL at 0x00592754	quad-mode blocking write followed by serial-mode restore
12	am_devices_mspi_qspi_write_async	exact retained function string	0x0059CE1E	0x0059CF1A	252	595ccf477285d6c3a250615da2e36a4700d3c7999dac8363bc8669ec1d2a1c8f	two exterior BL sites	quad-mode nonblocking transfer, callback/semaphore completion, serial restore
13	am_devices_mspi_init	exact retained function string	0x0059CF1A	0x0059D156	572	fb574508cb85bf5e0c6a12d561a55bc5464c9c1022eaf465417a3047299873cd	two exterior BL sites	MSPI0/semaphore/configure/enable/interrupt/NVIC initialization sequence
