metric	value
linked_functions	2
body_bytes	140
body_concat_sha256	fe30dc1324c0de0255f865ef659ef945608527661b00fc520cb1168e7d9b08a2
physical_interval	[0x0052F2E0,0x0052F38C)
physical_bytes	172
physical_sha256	4b8cced37db8e7615e81d8c5e27b5d1b5e76edde307c4e6f4834382020acd29c
owned_noncode_bytes	32
owned_noncode_sha256	26df699091c504939cf2e158811c5464a7a8020f1ba49986afde8d5f87eb667c
direct_bl_entry_sites	2 total / 1 intra-object / 1 exterior
direct_bl_entry_digest	3b5c1979e405e185863f86fc4af638e7d5d9f32edce3bbcf59cfa055ed3130e3
direct_body_call_sites	13
direct_body_call_digest	ec3181e804812dea6d90305676c737d416362cad6bcb2732bc590453ff8ce8b3
stored_entry_pointers	0
stored_strict_interior_pointers	0
raw_interior_byte_windows	0
direct_b_w_entry_or_interior_targets	0
retained_path	D:\01_workspace\s200_ap510b_iar_git\driver\wdt\watchdog.c
retained_path_pointer_cells	0x0052F374
selector_provider	0x0050938E called with selector zero; returned byte must equal one
watchdog_enable_provider	0x00511882
production_routed	false
ownership_bytes	0
source_inventory	unavailable; linked-object census complete but source-only function count unknown
