source_order	function	r20_lines	r20_body_sha256	stock_status	stock_address
1	eattcGetFreeSlot	74-104	07756bdc096e8889ace03bd88d7d5a78267131c295f2218f34e099c6e7a95468	dead_stripped	-
2	eattcL2cCocDataInd	115-159	1df6ce815b8baf339bb9fa8bfa1321ed97eeb6ed8d7497b4a599e58336bfa068	dead_stripped	-
3	eattcL2cCocDataCnf	170-196	de7fc0368978ebd8f751a64fed3e97b7c6920d836fe0710e58bd6bacd18239bb	dead_stripped	-
4	eattcConnCback	208-211	d9cdc9067f25a97a3aadf208e236f36874d3e8ee7db4460a75d2f6df588ed36e	dead_stripped	-
5	eattcSendMsg	227-284	81bdbf5d956bcacd517827f37d29885e8cde3a208c84805f7639d131f98ede64	dead_stripped	-
6	EattcFindInfoReq	299-320	f89c087fce0aae7a8888e8e7c9fd774dd6c94eb93b5acc71053d4a7d19f7f8fe	dead_stripped	-
7	EattcFindByTypeValueReq	338-363	3e94e33baa28387da9acafb5d6121f2d038c8c35ebd875c0485ca4a2948c90c5	dead_stripped	-
8	EattcReadByTypeReq	380-404	940aa23b41d18d4e8f5cac7ed672c67ffeb9555b8b7cbd964cfe5de941deab4a	dead_stripped	-
9	EattcReadReq	417-436	6269219ffda68b99c375f66c3041206efdc1e2c81bab17802523be7d3db84af2	dead_stripped	-
10	EattcReadLongReq	451-471	ce991f92d32330e0f46f649cb042dabf876a555fdba212f352fa9e560a78313b	dead_stripped	-
11	EattcReadMultipleReq	485-512	8f4d7f82815e2811c2b25a0a329e8c25d33d13fa5e27c303a9bdf3f67393bfca	dead_stripped	-
12	EattcReadByGroupTypeReq	529-553	4abf25ebe74882b2c46f593272433a05b50d00f50aaecd17a6a67a61c8427705	dead_stripped	-
13	EattcWriteReq	568-588	54396c9bf6dc9c6fbabfd6e078c3966fd64af14d8419f772ef2022804b79fd5b	dead_stripped	-
14	EattcCancelReq	600-603	1dfb3b1fead00d2c14c776aeb2149ca216a939d254e999df075589ed680d9f65	dead_stripped	-
15	EattcIndConfirm	615-633	98f0674088062ff14ff285319aae007b1cd6a6a483dd28b5e897d3b5849ab237	dead_stripped	-
16	EattcWriteCmd	648-668	77efb5c5846027e2efbd0ee026d5bf1e11733b4dfe77d1b35aaaadb554467d13	dead_stripped	-
17	EattcPrepareWriteReq	686-731	7b542b146829fa890c4a0028068c15ab587633d55cc233936290c49782cac270	dead_stripped	-
18	EattcExecuteWriteReq	744-763	f96b521f6cf08fd409e65d14526034679a6244edebbc7998f45767de0322da69	dead_stripped	-
19	EattcReadMultVarLenReq	777-804	afa310aa1037920a2aad1ebfbcaefef9a40c66335832b762e0387ed0071a2bce	dead_stripped	-
20	EattcInit	813-817	09e30ed4e04de0a6e602b8226f14a498f0341a1a4f9a25644444f472621c36ac	dead_stripped	-
