source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r44_lines	r44_body_sha256
1	attcProcErrRsp	linked	0x004B5230	0x004B527A	74	ca8d9cd67f9a21e35e9f52356b6e010edcf1b94d62cd70130ded2432611af6c8	93-127	dc9aa709a64ab598c0422ff57a5db4f4b335781fc960eb86b03229ed97d514fd
2	attcProcMtuRsp	linked	0x004B527A	0x004B52C2	72	991a456c8bdee2099b389b46e2ea8c94b1b12c774ccf8a48124f4887b0a04b6f	141-155	3bce0ce34a8485b1da20028babfda7703690e6b5d3143b33c7dd6af0f9523772
3	attcProcFindOrReadRsp	linked	0x004B52C2	0x004B53DA	280	75782178729d91e896abefdf266e345643326051792dcd75306c90de98934858	170-273	684f94f261debcb598bfcb43b0a10c1e2c15ae191232c946f0033de0748c2242
4	attcProcReadRsp	linked	0x004B53DA	0x004B53DC	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	287-290	747dd00a778fc597f77ef6eceebcd02bc363fa3e39042151d8c8eae997c95059
5	attcProcWriteRsp	linked	0x004B53DC	0x004B53E2	6	6dad3656ba471c4e672c84ec9b50fdb114f05644493311b5b945116d88af1970	304-308	1a4f7569b235e7f7af3c2614a39dd1a97455dbddbd4ad8d11863aff82aefca2f
6	attcProcReadMultVarRsp	linked	0x004B53E2	0x004B53E4	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	322-325	3f00d8bcc65d02c8cf934e329607ab1ca6ab83d14852d01ead6d98a7a329703a
7	attcProcMultiVarNtf	linked	0x004B53E4	0x004B5448	100	c53ce7c43ee4718fc7f897af08ac17ef5c7045888885da660a61d45590aa4222	338-361	2ea3aa4d5a372b45dca517789bb10f2e0f5d42da61a434e30fbe9e21b05146c4
8	attcProcRsp	linked	0x004B5448	0x004B557A	306	f8256375f5cad966c0c74be78977523bce416b3fdeb41f06c9b98537cd9edd18	374-461	f940be21887d0bc95bcb2bf833b7b6fef7b220f9eafbb4d68702697a7b92ccbb
9	attcProcInd	linked	0x004B557A	0x004B5640	198	f22e6ca61248875f9f2e34ca1a398e36e71bd27bc0f16db967d3ea74916f3ef0	474-517	f7524f9901d2b876715e2627be096af919ce186fdd4de502930281d17bbf53e7
10	attcSendMsg	linked	0x004B5640	0x004B571E	222	f16d89c0212bf9fad520bd6254882286f373b538d9e7232e09b75e17fbce13cf	532-627	62c9947b70b88ad4077bc9bac893136ab1bbddd27a4cb96af80a5faed70a0db1
11	AttcFindInfoReq	linked	0x004B571E	0x004B575A	60	76a80a6b52e64329c064128ae0d16855a55cf50b0055209d6b31bdf9e6dacd60	641-661	e114163d780885c90d774788b9464f727d3b3637080023ffbc17301542cecfb0
12	AttcReadReq	linked	0x004B575A	0x004B579C	66	d08e3ea4f5bdd4373f7d8696f6520320cb6639bc16392c4141c03709210e52c2	673-692	6688e2f24093436e32a98317019bfe98c673b75e78b218fce2861566e69c2179
13	AttcWriteReq	linked	0x004B579C	0x004B57FA	94	005c266fd172431a157c15e6733a3b80315419ca384239ac8b1207a058c81dd3	706-726	6bea29cee55bc4f74b7b4a317d21aa563296a86c963be18a3b4c64f670a46530
14	AttcCancelReq	source_only			0		737-740	5893e6a832f7c1a5ec022597debb36ce1e71bb2cf9a98f826971f5ad0192644d
15	AttcMtuReq	linked	0x004B57FA	0x004B5838	62	e621ec4c02eb0e6ab9a3522f0d2e23d255ff4747c745ec17efc45c21a996a0bf	757-776	d85fed3d90a94864a51c890084dfb8156d22e5e7fcd70d8914b3e02f7c08ec3d
16	AttcIndConfirm	linked	0x004B5838	0x004B598C	340	54b3f95bd6b5cd2f88c769c72cd02370db478072e2f1b5f1eff3c460e9745516	787-806	1b482da7b4ae4f26bc7955ffddb788fa1dd48641b25337a8c24e677af23ff646
