stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_start_line	source_end_line	source_span_sha256	direct_bl_callers	classification
dmAdvCbInit	0x004B3098	0x004B30E4	76	aefaf5db89e1246258ba18bb4672584b4396f0ae73133f9a3275b53108f4a0a1	50	59	1ecb5dece256628d6acd78f8bc88b655c368bffcc6e5ea7dbad1b5f89279e096	0x004B30EE	linked control-block initializer
dmAdvInit	0x004B30E4	0x004B310A	38	916c841e53ffb9c86fbe2374a5bdb9a36dcb7f2ade6389d2bf8eaaa296892fb0	68	80	abad68c5645867e3d43788066a965d19f2d7f140112fe2e23765501b396a932e	0x004BA48A,0x004BAC38	linked common advertising initializer
dmAdvGenConnCmpl	0x004B310A	0x004B3166	92	7278efc0ef64092bf864eafdd23dbcb0eb55733a8fb584d9738afe2593ad8886	92	107	e9dcdb6bb2edadd6cf9ebaf7b61089000f883bd6f81a873cc8d6898e5f7625cd	0x004BA690	linked enhanced connection-complete synthesizer
DmAdvConfig	0x004B3166	0x004B319E	56	cdff558439309661431dc31f66185fd2f77a7971de126ed18527d4c8e558b850	121	136	857c10dc597535ae417610d87942f80caf6e83f704c4ef9542b6335b0b4d988d	0x004B438A	linked advertising-configuration message producer
DmAdvSetData	0x004B319E	0x004B31EA	76	30644465fe7726d858b5a3295ff702730d72c0b232627431583cad876b624581	151	168	2a55f0e1bec82e3b6ad5375360d78b8f02fe74a5bb0b725106e4dcd0674ae3cb	0x004B34B6	linked Ambiq inline-payload message producer; exact source discriminator
DmAdvStart	0x004B31EA	0x004B3250	102	7726c2e021841b599517727d376a0565fc0c391864114aa5f656769213d13be1	182	203	1a30c23018552e0a96ec57ec23dd607ce86dbec2f5ee4f40318e739d0c0781c1	0x004B43CA	linked start-message producer
DmAdvStop	0x004B3250	0x004B3292	66	26bbea80de4adeb0fbcb0e3c47ac6ca47570de7c0a40cad71db9d64cabe34be2	216	235	034b201d1d767f3aec8028ff85e219830c8c89cbbd4ed8108f0c7c119df2da27	0x004B4464,0x004B45A2	linked stop-message producer
DmAdvRemoveAdvSet			0		246	258	258f2b3ab2226911839486e2ec6971f9f400eedaa7fbf3724c5dec8d233522e5		source-only/dead-stripped API
DmAdvClearAdvSets			0		267	276	66b3b56e6a3324ae3367de815365c57c0d09429ee4c9656a850b8435135a3a0b		source-only/dead-stripped API
DmAdvSetRandAddr			0		288	301	f9325b045fd58f80f3c35455aaaaa4265144f71225449e3c8c03613064b3edde		source-only/dead-stripped API
DmAdvSetInterval	0x004B3292	0x004B32B8	38	95c597db37c6cc3e5379b964dd4e80ca63e6f9f71e00a8eab8efecf6d241f641	314	322	bd834ed1373820f53d9ddb20f4433e475e6f15bf76155ea76d9801f56244d288	0x004B4352	linked interval setter
DmAdvSetChannelMap			0		334	341	2b692e71508f1e0ace443d927767e4ab7e2319b7389cd1613d25c94d86f49909		source-only/dead-stripped API
DmAdvSetAddrType	0x004B32B8	0x004B32CA	18	69fba7669a16927974c2f118d08d78410b6bf255f254476b929c18056cd9ebbb	353	358	173f6ee40e98199632de3b4dc4bbb803023cc11ed86c878180566ab53c819895	0x0046DC02	linked local-address-type setter
DmAdvSetAdValue			0		379	444	ffe3864cf0392aa91fed093f7c21ebf397f01437e96c8e5059f22fc95cfa1ba5		source-only/dead-stripped advertising-data utility
DmAdvSetName			0		463	523	9060b37d2e912d39d043c569bdd96866bd067b6edf7cc3f382d35631fc594301		source-only/dead-stripped advertising-name utility
