source_order	function	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r44_lines	r44_body_sha256
1	dmHciEvtCback	0x004D299C	0x004D29BE	34	b17c7de7f07989946aa573f9d526bf3608519abd6d60337e66c6ab22f34c80fd	283-293	b924a3083a86967bfe6ceb92699a04d9372c574dfffebb9e6f1f5800fd3cda98
2	dmEmptyReset	0x004D29BE	0x004D29C0	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	302-305	1e11d146eb755e6459d2542087d5f077c1f4dabb7e4312e536e355bf815c7f0e
3	dmEmptyHandler	0x004D29C0	0x004D29C2	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	316-319	bd84282ddc2b9697362d9c2a41317b70257848b929275b5585b088f5a82054e8
4	dmDevPassHciEvtToConn	0x004D29C2	0x004D29CE	12	b3431bf41015550f59f3a5e019a14d26255aca075f5e5850515abac5370130ac	330-334	de52c5572d714e1aad62fef8092f80e7181d43ae40b5af2c3e00151cb7aeae97
5	DmRegister	0x004D29CE	0x004D2A06	56	ba349e8e5645eff35022b2ea6c68675455d3aed3fe5e5ad65dc3293cb484bda9	345-364	de35fcb897bdc3daf752ac94d6be1ffcfc10abb1eee21da1e47dc7a0e903cfba
6	DmFindAdType	0x004D2A06	0x004D2A46	64	47788f8d1b0247eaa47865cf2159dc71aa039b526032a36c85d7a50fe8427f51	377-398	38bc65d3b1bbcc9ffdea0c0ad93dd2fbf94de23f2bc9d9ea876ff462be095233
7	DmHandlerInit	0x004D2A46	0x004D2A5C	22	a8b518e0a5b7e05027f077c6dd6a7b4a6ffc427be537a9f0b04b47b70581cb97	409-419	68dcaf60dc207d62b0daa0317b56c0566cceccbffca635bc2f4a66e1c03e3a01
8	DmHandler	0x004D2A5C	0x004D2A7E	34	ee6f3c27ec1b668ccea4a9e3d04e2a8168fc02cee71ffcf2f2065377b751c7b5	431-450	fe2866b008ba3d4dc8abc8a9686c6ee12a379bce42e40faee3efbb6955addf8a
9	DmLlPrivEnabled	0x004D2A7E	0x004D2A84	6	3452a2e9f881d8a5a0e734eb442674b16b63b931fcd7119abe34c705115fe1e2	459-462	38e63d38b3b3be5e20e1f1456f6e41ac459edfd4fd8cbb22e9cca5981fa9f7d4
10	DmLlAddrType	0x004D2A84	0x004D2AA8	36	4a20ec96c74e5fa5bf3188c3a2c0b600d853ceaff000cf64b7a00089cc093056	473-491	6836719a1ecebe1e582811616b04f6b367d38ab6399c26ec18bfc65cff64b904
11	DmHostAddrType	0x004D2AA8	0x004D2ACC	36	62b5170c4d157293ef923f947116d25e1d0d27bcd6f229bfa34e84f6e5c6bdf0	502-520	b71a92509da4c9b8538f131f5415a262877713d1ff9e154b557ea937785a70a9
12	DmSizeOfEvt	0x004D2ACC	0x004D2AE8	28	6d837a89649b3b1eb8b9314d0add5754e787e5159cf75efa145684e3e86fe11a	531-546	84563fad86193e250a9a377cc55e75692ff1039e9437d91cc340b0c9775f6e99
13	dmScanPhyToIdx	0x004D2B00	0x004D2B3E	62	d505d6ee7f4f5a2dc7afe547118dfa5bad6af9461a319a28814183ab4372a8aa	558-574	e2157a7d28d873f3e63c52f7ac8260dc2b34af922bb11b1af68cdc64cce68661
14	DmScanPhyToIdx	0x004D2B3E	0x004D2B4C	14	53e4628f2d5336fde56bf2acb22e0f2cf78270a7eed3c2b77fb0a22b573625d7	585-588	21e1971df25a9109f6a323440f2e02930f132e6f7da95ee4fc16b4365bb6b587
15	dmInitPhyToIdx	0x004D2B4C	0x004D2B8A	62	d505d6ee7f4f5a2dc7afe547118dfa5bad6af9461a319a28814183ab4372a8aa	600-616	fda4b6e13a5a70b22702c6e52ebc5185e158506930f8469d21acff97baa812b8
16	DmInitPhyToIdx	0x004D2B8A	0x004D2B98	14	53e4628f2d5336fde56bf2acb22e0f2cf78270a7eed3c2b77fb0a22b573625d7	627-630	153ce7811f5bbf6820d47ff71677b7daceeaf664451dddf19ddc7b3ad0fa6036
