source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
1	dmSecLescMsgHandler	linked	0x00534894	0x005348EC	88	b3aab28cc4bd055dbcf5b16010b31396d3cffa3e75f2d1e337b1618fc3898b86	67-92	dd1fe608c05fadb118a8217268888b323e6387ea283eb5369cd2af7adba7b261
2	DmSecKeypressReq	source_only			0		101-115	0055da0942f9c77c5e6a3ecd76f3d10b258beb9ee79612bd16d22feae895219d
3	DmSecSetOob	source_only			0		128-132	261c260ba4266ebc6a052080bf84d83eed2cddef510a076b7388659b87a1ee2f
4	DmSecCalcOobReq	source_only			0		147-189	d27d29677e30b07df7b389069bc1e93ff909f51bb16aa730a9b809b8b36d3462
5	DmSecGenerateEccKeyReq	linked	0x005348EC	0x005348FC	16	e0a681608fcc6948727d3aa4198b65fda3c9d016da61decd99452afceba43df2	200-203	63f73cdb006c380aee32c68e2aa7a9980f071b66f0e67f42eef47332e3c58533
6	DmSecSetDebugEccKey	source_only			0		212-234	51e2fea044956ea417b6cbb556f9d8e8a65a4b8dc4744511c9719b33ee6689e0
7	DmSecSetEccKey	linked	0x005348FC	0x0053490C	16	73b03a0fbb275ce3ce6b569a48a0227dc11167fbf85f82a503765328dd88a9a8	248-251	b1e364b25bb85e07648ff624da6fa9845a5459f9b6b21559ceb0a546363ea4a0
8	DmSecGetEccKey	linked	0x0053490C	0x00534910	4	0ac52db61643d885328c9cb17c794144ed816950ba06f370c923b03a23632ddd	260-263	3ed98f281822bba9eefb42e09f07007a44060ece7c4f6d0dee31e61de0d0c1ca
9	DmSecCompareRsp	linked	0x00534910	0x00534948	56	7be991a60ff3b8ac5bb7aaaa685b6670b0775dbebfe79fafd63b82b671582ad4	276-296	a97d0fb12d28319cf3ee6b82975423fd78e1f411e81f58fa90498d84114a1b25
10	DmSecGetCompareValue	linked	0x00534948	0x0053496A	34	d63659ebcf0bb523e25b8f109164192d810161bf08c7c00b7405525585ea7f0b	307-316	d5c848cf2a8a636c6e1fe4f2ab2812662a57bdb3cd26a69f39f2355cf038d042
11	DmSecLescInit	linked	0x0053496A	0x00534972	8	b34de3b762eb032c1ed5f61a32877392a355ddeac94ae86e0f495c8a28573822	325-328	03c21d7e10b92ae30e86f716cd34a218e2c43c1e4c2eef67fef3ba59bae71bbf
