metric	value
retained_path	platform\ble\profiles\gatt\profile_gatt.c
linked_functions	6
body_bytes	322
body_concat_sha256	57297c5e7efae361b5897daf562c2d051ef5fb588026ad77a6400520639e9ac2
physical_interval	[0x004B59C0,0x004B5B24)
physical_bytes	356
physical_sha256	ea73f4b2dd82c39d715ba5a707f0a8ec8a65b485db9f74ce971b15cf7b5c90da
owned_noncode_bytes	34
literal_pool_sha256	cc0e8dfd152105d90fd66b92f32c78a2afb1067abb43bd5bd1d1fe5864a96bc7
direct_bl_entry_sites	8
direct_bl_entry_digest	9dee4999d8e7796bd3db9bd748e1fa011ce756edee3c00157db515d4bc4b9a92
direct_body_call_sites	14
direct_body_call_digest	e44a8db4e0ae4414d9bc7b9fca194096b5425b9479116df21a92b6bb7794127f
stored_entry_pointers	2
stored_entry_pointer_digest	c390fec6bfb6eb15f74528dd4a4c09797cd2d8c55f80e2eb1255a035b046e281
direct_bl_strict_interior_targets	0
wide_branch_entry_targets	0
wide_branch_strict_interior_targets	0
authenticated_strict_interior_pointers	0
upstream_component	Packetcraft Cordio
upstream_release	r20.05c
upstream_commit	3656312d6b73e2a2c1c8b33ee0385bc199dd97e6
upstream_source_blob	bba9a3041ce14284a0bf527934eabd01c01694d8
historical_g2_generating_commit	null
local_delta	GattDiscover EasyLogger expansion only
