source_order	function	r20_lines	r20_body_sha256	stock_status	stock_address
1	l2cCocAcceptDefaultCb	189-193	1d7cbd64b042f21c2d4cfe7149d2196f552339058e9fd87431e0329e0fa234fa	dead_stripped	-
2	l2cRegCbAlloc	205-241	4061ac646389785cbdd0fe942582705a3126290273fe6153f9d54aa2dc62c293	dead_stripped	-
3	l2cRegCbAccept	252-269	1f9515949e24c435fb7949cb30bb9a95d835cbced0e0c2150226a99fce648246	dead_stripped	-
4	l2cCheckPeerCid	282-302	a79f10a0cb856573e4a90a9a7aff50ecc7ff200cf1de9db1570c5d0e76041653	dead_stripped	-
5	l2cConnCbById	313-318	d5a9019a48e3951edb3b631c298d41f54e9d8c637ba1b9bc70d2a0cc665e6a20	dead_stripped	-
6	l2cRegCbById	329-335	1f48fc1f89ea5519593088d38225668c40b9b80bc92ebaa484dc58cf523c53c7	dead_stripped	-
7	l2cRegCbDealloc	346-352	eff87813501428d162df42f84a74842e941b9e6d424cd31c590b157ff9355f09	dead_stripped	-
8	l2cChanCbAlloc	364-385	3181ec2a8a4ba71ffca5eb78f72c3f63de5a5463e4585290f91775da451985b1	dead_stripped	-
9	l2cVerifyFreeChannels	396-413	14b0ae3f1682ecb5f322c8a2ede26f405be90184e79b3dd531d606e3b4607586	dead_stripped	-
10	l2cChanCbByCid	424-429	529ba3a5c0dc9daa2df4c78ce526a2373d2c80e1d8cb2124156c6f9902e4f1ea	dead_stripped	-
11	l2cChanCbByPeerCid	441-455	69ef33905a43e9ffac482067d052d17bd4967764af8040caf6884e24268274ed	dead_stripped	-
12	l2cChanCbByCidCheck	466-474	7c801ae744f5eac5703b5edc8267647aaa83ad601705a759d5794c7984eed954	dead_stripped	-
13	l2cChanCbByCidState	486-499	633d5c55f48be941cbe90052baad067cb5bdcab7dadd961981e4df2a08b7f34a	dead_stripped	-
14	l2cGetChanCbListByIdentifier	512-532	8e5a60c6056cc64e822c33b85f02ad3cb3c004a4ebd2dab54444235c30397f19	dead_stripped	-
15	l2cChanCbConnecting	544-562	96f939da79b16cfa0e476228b28527bb0916d39181b9a38f5358f6c229494d02	dead_stripped	-
16	l2cChanCbDealloc	573-589	59f07c42732dfb72738ed72344dfed54d057db038b4cf2f77f62eaa185e905d3	dead_stripped	-
17	l2cCheckSecurity	601-628	3d63e6ef1172fdbdca9059afbc63008ac053a538c3ad9bcab6191fc025d30dc2	dead_stripped	-
