source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_lines	r20_body_sha256
1	l2cDefaultDataCback	linked	0x00530538	0x00530640	264	b51fc0704d53534f9e2d60e5085ea34f3286f1212b9ec655f1d211392f68840b	56-59	4e11e4dfbcc0ec0122faea252ff3cd81ba284bb3b30faed6030cd677d9b2999a
2	l2cDefaultDataCidCback	linked	0x00530640	0x0053075E	286	1bc7d2db5e7557e18c80e502a490e31b86afa2f0676cd4d78ec2bd4db27fb6c1	73-76	690ca0e353c4fa37e83a95614489ea554ac7e3b3fb56761bc0fa5d4db43ab04d
3	l2cDefaultCtrlCback	linked	0x0053076C	0x0053076E	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	87-90	759b03950e8274f2420485dfc801e465fe2623cc47b071fb5ccd228446015f1d
4	l2cRxSignalingPkt	linked	0x0053076E	0x005308E6	376	c26ae1510d3d56ca5de518313cd89389c877a3f1047c4512ab0a547e05db9f7d	103-127	45f8a83e84ada307bfe4e759d37345e48978716033442621c53854e2a5cbb8e8
5	l2cHciAclCback	linked	0x005308E6	0x00530A9C	438	11f76d172ff57564eb7a1581fd078cf32ca57644e4dd2980ba9c29bd19717a39	138-194	42d24d21cd2171c937b1e647dea35b828d44324054fd51ca1b45331b783b2b0d
6	l2cHciFlowCback	linked	0x00530AA4	0x00530ADC	56	2f76d36b8b21279faa6824e021362b37d6f5728ba9503a34fa91e5dc1fa51d17	206-225	fa2c07d83a2539ca676437f60a83c9d3fd60c0603d2492d9484af01c8bbf0261
7	l2cSendCmdReject	linked	0x00530AE0	0x00530B28	72	967b8eb767f2ba09f61aa75f06f713e2ad5377dd07d6a21a01e6e4c9a1eb1b10	238-256	924e5263068b3a212aee252641911560293029b82e4e93a8296bdac11fd81cb7
8	l2cMsgAlloc	linked	0x00530B28	0x00530B34	12	bf3a39fbd761825cc61f5b64a83c139bed38809221d70a03a0d1d148863219e5	267-270	736b537224fb62830bad8298e5def27c62356e489c585827ffa31c0cbfd7cc7d
9	L2cInit	linked	0x00530B34	0x00530B5E	42	cb21c7a5d22c959e24d20e4242a34160cec9fb326fbd6320d9efb36f0aba4bff	279-293	23cb758529281e70d124b39ec7d5ecdc2eb6d831384158848c6edf31840576cf
10	L2cRegister	linked	0x00530B5E	0x00530B74	22	395e5ffd4e439b64aa157aefc59e91cad11a2529c8ba54fd6f83a87983b9c86a	306-323	fecda1a8632ae4f5d183e978f8f2ded8d2c56ef743214e71707d63329fbd35ff
11	L2cDataReq	linked	0x00530BBC	0x00530BFE	66	60f3c18cb48c5b48e80d8596f2c6332e03168223a46bed16a4073e08e825ee09	337-351	109f588d67fce9fa849b635d723a1ddf6c7209bed44a995609183d61e561976b
