source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_lines	r20_body_sha256
1	smpStartRspTimer	linked	0x0056E5CC	0x0056E5DE	18	bb72ab9cf27e16bcdf3ace7b80a8d8fe0de6581e63edca64268cc4c470204b09	49-55	1775df03a2a389a2db5f3c6e4bde2c5e73ad8a5b102fad8b062cb315de9e7dd1
2	smpActNone	linked	0x0056E5DE	0x0056E5E0	2	c7dfbb7d02759eacb64dbc916c1bb6f21eabaff1c1032ea5c9176abf7fd28df8	67-70	57bd9225cfc224da8df88d7ae279a57f9bad23043eddfb04d3782ea4bbd77879
3	smpCleanup	linked	0x0056E5E0	0x0056E622	66	97fbfe5d2f8e5056e59244e08f3cf183ad492d54c5f404da3b0a24c2928e9aae	81-99	7fd56554d0ef1a0c9e05813352b55553be1596c5cd5d93489f09f9b1a32bde51
4	smpActCleanup	linked	0x0056E622	0x0056E62A	8	9865b4826b180a6ae03b061f6abb8c02e06e5ade8c136ff0c88f50e9f25e77cd	111-114	5e7f0eaf3895e4a1f62df67fe0c0381180f57baca48ae14fa26d9847546b5bb0
5	smpSendPairingFailed	linked	0x0056E62A	0x0056E652	40	a98b3d651ff54bbe28a4a7afe7d0908decee93cc0ec95c017434e58412caded1	126-139	69b019517cb982adc41385954ca1af15517440704305d5f4520408241315971f
6	smpActPairingFailed	linked	0x0056E652	0x0056E676	36	6f97f9b4bfe3598bc92e9bd0638cd9fdd29172c5b6e9619836e1da45b160bf5e	151-162	f2f91e821eedaaac8651c4283bccdf469dde4ec4808b624d9140005dfa504867
7	smpActSecReqTimeout	linked	0x0056E676	0x0056E6A0	42	c572cd1538ff001f052334a2f8afa319683ffb75e108c4f53b9514a3e88c41a5	174-188	346e9498b966c4f783ad9686dcbb16dfe8a0aab86e20ec4d590b17803772fda4
8	smpActPairingCancel	linked	0x0056E6A0	0x0056E6B8	24	dc815257c22a03a8971d76a7aa18bb7053d871b48e044c50deed83462bcb6420	200-206	3eddcfd9c55cfc512cd6a6c7467264ebf6f17a8373f43d6dcae2df34ee4288f5
9	smpActStorePin	linked	0x0056E6B8	0x0056E6E0	40	2ae137f6c39ac2ebb246f387f77d9afdf2d1f9b0d44ea6d2420110c52e2d7873	218-228	7659e1ba9236d495b2cb42ec1a3d8edefc05c47a6f02aa781c72e8a2654944b9
10	smpProcPairing	linked	0x0056E6E0	0x0056E84C	364	bdde32cdbac957456f34a4ada17861d29e5368e3c502b7542ae881146e4563fa	242-326	4ce32c9dedd4307361d2f153207ca6782d971a764c9cc5e738964d4f7a039bfa
11	smpAuthReq	linked	0x0056E84C	0x0056E8A6	90	b55c01a6c8cb7e3b55dc6d205d1fe0372267dc999a52d8e56862d2223d1c9635	339-369	5e7109e2670afbde29484c3d1860b4ae2a78c720b3fb3a71de28b2050067a30b
12	smpActPairCnfCalc1	linked	0x0056E8A6	0x0056E8CA	36	6d87b91ceddc6a3ba1fa1a25ca675aff5ba3c1f212ddd0083d5d9ac362e2a62d	381-391	d6112e772c8653702ed140e8b8d51e1f727e9947e42aa6d965b7a0cc39882be5
13	smpActPairCnfCalc2	linked	0x0056E8CA	0x0056E8D6	12	2b6cd792759399fcae5572616af67168307eec69074f06bc92d150dfee1ecdbe	403-406	cfe23224212525c67f17910bf17488f169c5b1e0997997694e14523a322d1b5e
14	smpActSendPairCnf	linked	0x0056E8D6	0x0056E91E	72	8cafd69ac6ff9636648ead60289417dea130e09a0a08430b2100319b72b0c8ed	418-440	ab1d3f53f8d9f92770ef2bffc571c340914b9c7aa7c8e8369d1a251d35c97566
15	smpActPairCnfVerCalc1	linked	0x0056E91E	0x0056E944	38	9f376ed56323b9459c560499c18d8f2e71936f79e83a89f8f1629e7b45104ec1	452-464	6a7e00a889b6ed403ece1cfcf2e08702fd096341ee68cc876f2d04472c15933a
16	smpActPairCnfVerCalc2	linked	0x0056E944	0x0056E950	12	de7cde5b6f54c6488e5352557cd5afcc5b0d7d88673d943b88d31ee881351629	476-479	a94ceddd702c03ffb4499d97d71c96322f2b3bbe3c66acc856691b5fae6e3768
17	smpSendKey	linked	0x0056E950	0x0056EC88	824	99a9ffc665a55d3384d4149359d610ec88e4b6dfe2cf5323b998bf71e40590bb	491-609	5ef6bb64d66e83c67401efdd1c5b13f9c31b719cb4da0746ba1fb4693aba7a24
18	smpProcRcvKey	linked	0x0056EC94	0x0056EDAE	282	2e069838994106ab9ab58843f6543ed32aea23a5b2e6cdc25a22020a512d3b39	623-703	23e42961bb84aefbc3a8fd9cb563b5a3894f30a07da0f54e77a5ff4ea17f19b3
