stock_name	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	source_start_line	source_end_line	source_span_sha256	direct_bl_callers	indirect_ingress	classification
smpL2cDataCback	0x00537278	0x00537444	460	567289c2d6f329dfbc4fa72d2527f208ee4e65695229d7e315830b27d92e0b4c	80	121	2d8cf3e237fdb8d44f6d3876acb934ae72f7450a29c6f1e7f55e87edebb561c2		literal_0x00537ED8_registered_by_L2cRegister	linked retained-path callback anchor
smpL2cCtrlCback	0x00537444	0x0053749C	88	40e49a4d9e328fd75b8bcdc911bfabf8642cd0e52f53a5c4c7f51c5f9507bbd3	132	167	2368fbe1f2a9d58f34108d022b290629132819f598cec6de644b0ba4e33ebc57		literal_0x00537ED4_registered_by_L2cRegister	linked callback
smpResumeAttemptsState	0x0053749C	0x00537502	102	a80604d4dac8b29f3609380129f44ac89fb1268cee1530c92fe7b0df7b02db20	179	199	b6781c09eb50d502719f2d9a911e462b7119d3645c271f05bb1af5be102258be	0x00537574		linked private helper
smpDmConnCback	0x00537502	0x005375C8	198	dba3274b2f0b77b5b1f58e1d9ef70982a478e9e1083e63bf90c057d4a4e333e0	210	271	710112cd9d4c7494a694904d3904ff588fd4d6e6aeaa5ec652177a0425d7e99a		literal_0x00537EDC_registered_by_DmConnRegister	linked DM callback
smpCcbByHandle	0x005375C8	0x005375EE	38	5724cd9298422653aea5bed01ef74254baa75cd8a5acab99502dbd255a999da3	282	292	8a44bb58858683b8d9b2ea2889fef3653f2b72e131d660942d9ec14ebc4b612c	0x00537282		linked handle lookup
smpCcbByConnId	0x005375FC	0x00537742	326	77d4d33d056e1bfc336decb79ff100b688ffc1280847e123dce53f1acb71f55f	303	308	d9ed491cea368a2e03c28947075877a99515e65124ff2284e3bf74efa824ee6e	0x0053744C,0x005374A4,0x0053750A,0x00537C34,0x00537C52,0x00537D3C,0x0056D194		linked lookup with product diagnostics
smpCalcC1Part1	0x00537742	0x0053786C	298	3a1568068ef7cf80551d745d13b73654381a0f2fac409c362bcc008fdd5e5e15	321	403	d2694ff0de1e46eb26304eedd4d826b9aeb2613fe0f2bdf4e9bb98518b115b13	0x0056E8C4,0x0056E93E,0x005E3B5A		linked crypto helper
smpCalcC1Part2	0x0053786C	0x00537998	300	63bec5dd4eb71e1cf46a26c8eae62519be578ab95903296e4df83c39e29b18c0	416	500	33fb0d5d7a6617feffa94ba15e62becc3ca6e6b0dd18c7d532d745cd721743b0	0x0056E8D0,0x0056E94A		linked crypto helper
smpCalcS1	0x00537998	0x005379F4	92	5139db5601016dff3fb867bf854397bb81541591225cdfdeb4bc08fbba766d05	514	537	0dab4ccdce77fb97693bf6b902d7ae52f8f1e1771bc762048b573d9c8214db2b	0x005E32F6,0x005E3BC0		linked crypto helper
smpGenerateLtk	0x005379F4	0x00537A5A	102	5530f3a25c0364fe03e6ace8f3cc40262f366994151e29fc70614d78694c05df	548	572	d54139d8c074512ac9850bc785e50fb6e6f9a52f607099c78c8404405d9f9967	0x0056EA32		linked key helper
smpSendPkt	0x00537A5A	0x00537BB8	350	68f2322544f65ddaec2a5fa9ac2297bdd26c74aed21f0a98e61e5ee24bac447e	584	604	a51982af455996089e55f77986cae1c7cee5e203074b0e53cb9601cba315a7d9	0x00537480,0x0056D03C,0x0056D090,0x0056D0E4,0x0056D138,0x0056E64C,0x0056E918,0x0056EA52,0x005E2DF8,0x005E3192,0x005E3290,0x005E38F2,0x005E3B06,0x005E3C4A		linked retained-path send helper
smpStateIdle	0x00537BB8	0x00537BCA	18	6525f199369bbb91d2c7e3b9f7c4464ff8e586a85a572830d9665d06bbed82f1	615	618	2e5ac88beb40ddcb7ea5b03cef4bf27687b51722096aa2400671a62855843439	0x00537486		linked state helper
smpMsgAlloc	0x00537BCA	0x00537BD6	12	6f632287313774c355ed09e941246df0d411eab357be8949ebfe0e9e7633dcdb	629	632	5277a09448d16ce8cf87f072dbdde072a52edb0174f587145c246201478402fc	0x0056D006,0x0056D070,0x0056D0C4,0x0056D118,0x0056E632,0x0056E8F6,0x0056EA16,0x005E2DDE,0x005E3140,0x005E326A,0x005E38D6,0x005E3AE8,0x005E3C24		linked allocation wrapper
SmpDmMsgSend	0x00537BD6	0x00537BE6	16	c079f9ba24378263a8c5dc1e1292d0bf592f897afbdcdc52da3661c77e141c42	643	646	4719ca8a7d0d7438df9f7fb992cd646d28b9670f0dbda3b49a0151fc4796ebe4	0x004D2506,0x0052BAFA,0x0052BB1A,0x00534942,0x0055BC18		linked DM message wrapper
SmpDmEncryptInd	0x00537BE6	0x00537C00	26	8404f352eb4fe43d3d2d451bd69ddc903e00f067d3c5a7766d5fc0662cbee2a7	657	665	cd9c06b06ff39a8e037e436e67951cedce856b9762f3f57bd66ad4e12583b8e2	0x004D2438		linked encryption callback
smpGetScSecLevel	0x00537C00	0x00537C30	48	61dd303ee69a0455daed09e52d75fd9df77550a7c2db6bfa96ee6c988376598d	678	699	72b22054d96fb8acf610ebf3c221df7d2b15a46406d92bd91a2fc61a7d60d6f9	0x00537C84,0x0056E9A0,0x005E3846		linked LESC security-level helper
SmpDmLescEnabled	0x00537C30	0x00537C4C	28	7200401ca95152df0922f4599c3e5a65375ea652d00e68d180950e92b64eb610	710	720	fca516ed7306c9497a190cf7da2955c030cbc46f8266412d8f2a4ad017a0d0c7	0x004D23B2		r20-only linked public API
SmpDmGetStk	0x00537C4C	0x00537CB2	102	b21687106d28c1fc6429dd9d0a2afc538f2bc8277439a62eb4adefcfe047cf8f	732	764	0897f5ec48bbaf2373c067cdfb57e96bd194cf37b94efc78134c56b7dd136373	0x004D2394		linked key accessor with r20 keyReady gate
SmpDmGetLtk			0		775	791	259802c7507a7aadb0c57923a5b1b5c08448f92de7eebf6d06264f83de259010			dead-stripped source-only API
SmpHandlerInit	0x00537CB2	0x00537CF8	70	585a1fcbae4a525592827ec4ad58562464e77a1a3b166c952c95f17e66a6077b	802	830	3d4ccf1e7e1b3615e06d7835c5316ddbca98feafa49aa3e0d5eda03eecaae2ed	0x004B8078		linked initialization and callback registration
SmpHandler	0x00537D0C	0x00537E9E	402	c6c182f8937a91efc42995289820d0589b5ae839960cde0d83aec3f40ba0dbba	843	900	ebef1a9bd47eb78016ae283ba947c224e6ee8ab7f85ec12f365d051740c80d86	0x00537BFA	literal_0x004B878C_registered_by_WsfOsSetNextHandler	linked handler with Ambiq stale-AES-queue cleanup and product diagnostics
