source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r44_lines	r44_body_sha256
1	SmpScEnableZeroDhKey	configuration_excluded			0		66-69	c38d2d128811c180ad0780f59063276dfcebb3a9fd79991fdd3efa3bafe94081
2	smpScCatInitiatorBdAddr	linked	0x005E267C	0x005E2700	132	c664ecc4306b9b6e8b2f1075d0428912ee815e20c5b76aae54a9fbc601279560	82-121	d1b24e9a4f0cbeed30c26ed99d93b0df7ca8893b9fb656c8297ff67ec7fc1f78
3	smpScCatResponderBdAddr	linked	0x005E2700	0x005E2784	132	a38b7e6d8655427e956e2a9a484c3c4361418468928497e5aab7178b464281cc	133-172	06bbb3402f4c3e0bad5ba19d12fb78b8761aee31a3f1254d7a7f5763972182e0
4	smpScProcPairing	linked	0x005E2784	0x005E2ABA	822	28c05f6d9ad38c76f671ab6d4ab4d186a98244b84383ff51a82cb271f396aeb8	185-393	796fc66b298a99f036a774a27bcca0cdb2fa44ad09a055e314a101bc664a71ff
5	smpScAuthReq	linked	0x005E2ABA	0x005E2B2C	114	93fa13223d11fb5fbf60bf6e7198674473467c17bf600823513d833623f83b8f	406-437	9844ac323f5d9e00302d877b34cdea37d8663febf36e44e42bd7c4e01acf85bd
6	smpScActCleanup	linked	0x005E2B2C	0x005E2B3E	18	ed68b1fa3da40c692806cca189570b2338c01bde173231de0a9e82bf99f336ae	449-455	a7d8b98a07be18d5120e574714aaeeff7a9f8f9d53f8973c9792a73650b9918a
7	smpScActPairingFailed	linked	0x005E2B3E	0x005E2B56	24	1d0c9de8ea07408f98ae23bd43181686da23d7d9a277fde30ecd95d828d0326e	467-474	f0bf091d4ad3fcf3b97a32dfacace66d7c3c76574e398b840c44e5a7bae7d2fd
8	smpScActPairingCancel	linked	0x005E2B56	0x005E2B6E	24	6a66ea8cade4cb4280e6577b1ba836f8e3b434e8f006eda5ea85017a7f954db7	486-492	164e08a00463291ce83b07433b2025c0f478971bba3aab8d3474e71a674f8d59
9	smpScActAuthSelect	linked	0x005E2B6E	0x005E2BDE	112	c68a39edae411a42951631ac6e1c533152568537a435b912e68c1d344a5a930e	504-535	50ea0e2f7cb03c6680d0f212d98d5b3d1887b823a647429b0cc2b280bac1c4ba
10	smpScActPkSetup	linked	0x005E2BDE	0x005E2C14	54	fc25ba7dc48e9e15db7456a266b26ed009a25782d6284c3890e24a552ff51195	547-567	9e3a71b2c2740fcc641f86a59098d19acdc23f9e34351ea3a44cdbb0a8052630
11	smpScActJwncCalcF4	linked	0x005E2C14	0x005E2CBA	166	ca9daa76d85d70915dd9e33b8b8448e9e5fd50dde5db83bfccbaa8e52fd47a13	579-604	affd79e6a5e57d67a7cd8c52ee87061b9f8700e622e08145abef24b877dad7a2
12	smpScActJwncCalcG2	linked	0x005E2CBA	0x005E2D20	102	ab4238643277e2c6bd18f70a08120a09b59e369cb04e9695abeaab2fd7f3937b	616-642	458c24a40afb9fa3ecb5e9e85e896f641e760420bcaff1fc777263e35f632d95
13	smpScActJwncDisplay	linked	0x005E2D20	0x005E2D80	96	a6b584ea10992ff7dfc21f95dc971273de603e4b81b6e1dabe1dfff4bf5f9ac8	654-680	227fa0b94f048f5d46e0c100bfb916939a3fcf74687b6bff4cd5351c21e852f6
14	smpScActPkKeypress	linked	0x005E2D80	0x005E2DC6	70	8e8a5c599411ff53d46ba066694610619fafebe9256a98bc744822211dc524a1	692-720	48db1c9bd16fe395272def36be43c5df76f31b62d47ba3fd233e5d6fbffcec3c
15	smpScActPkSendKeypress	linked	0x005E2DC6	0x005E2E10	74	773b406b74e45e6e2b041658f82a029c0f01864d2dab40deebf05d6044638ba0	732-764	df8f03b54d28b44c05352bdb35b4bf75e87a351604f29bfa836be7be16e7ab33
16	smpScActCalcSharedSecret	linked	0x005E2E10	0x005E2E72	98	4807e3e2be4c09d390c8cf56355bc9a9c68d4cb393e75903c3eab31ac28bf900	776-813	f0ba8e3c864158776316b0f9407e72e80d4f56353185bc07b65efaa2b0498014
17	smpScActCalcF5TKey	linked	0x005E2E72	0x005E2EDA	104	89346d31e57b1a855e52d0efd563da8fc62984866ef8b908d48f8dd729b94ad7	825-852	9eff6ac20e8ba7db6bd6f08ba59da09f21950330a6b4c19b16d281ee67b9f7b3
18	smpScActCalcF5MacKey	linked	0x005E2EDA	0x005E2F60	134	736d261534dd20bd011389560ef6f2a4cf47bbfd5332348cace3f4ab15431170	864-892	3cd4d3ed1d03e5da534ad46281f629f992e88ec4796bfa47a26f966d347d8b49
19	smpScActCalcF5Ltk	linked	0x005E2F60	0x005E2FDE	126	a59560338e9c04de9cefed5f8dadd3480df4d91fc62f1fb229dab29494827a11	904-932	1c6dcf5f9e763182d667fe0c5e74380e19a49297c8af7007b1ff491198862152
20	smpScActDHKeyCalcF6Ea	linked	0x005E2FDE	0x005E3062	132	3bf948e01d7aa029d1f2d9c105b58689bd5f202b795db31204e1a368c7f4fba6	944-972	86de6365572f556b842bdb42a8e34aa6992892f678e13974abc829b429a9d329
21	smpScActDHKeyCalcF6Eb	linked	0x005E3062	0x005E30E2	128	d8643cc113d055c87ebf4f93e2770f1831c0e36b8a6aeef2d65e7a0daaa8a2b9	984-1012	205088e0470bd85aeaede57387bfae231be59009472b733faec94281c10f9700
