source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_lines	r20_body_sha256
1	SmpScAllocScratchBuffers	linked	0x0056CDC0	0x0056CE4E	142	822a491a42e97a4fec90bf6259fc7a431d50d8f0c1e39b808bf2cb42798e53b0	58-92	78b6859d3bd7018a04907de03174b0a2a4cd619ec0aa0164b2cc8175a9ddb0d1
2	SmpScFreeScratchBuffers	linked	0x0056CE4E	0x0056CEC2	116	a74799acaa0848c90a0cb93093ff1d008a4eb6c48886e66bf654513adbfb5de7	103-139	6102e262205d5e80b740b1bb7b43ee7b2813e6c99a9c4b3788fc325f6e7890d2
3	SmpScCmac	linked	0x0056CEC2	0x0056CF04	66	43b289b2e89ad1e12d67d743bb10e4a2305ca73681e84a94104905c6101ea7ff	154-163	ebcf47c1be028c5b63f3d4b45b6dd1a8b39ce2793c76e1787443e1177c19259e
4	SmpScAlloc	linked	0x0056CF04	0x0056CF2C	40	54cc2f4c7ad3f34f9a171e1f9bffb1467ce0d586baca8ad04a39016f1f6809e3	176-188	8b9eb2ce0db9ac0a2cbd8728e4a1b8466b8a37dc1baa73828ebe1c9a9487ed4d
5	SmpScFree	dead_stripped			0		199-202	d831d00eb44d08f1c797ab1ad88e9bc80700aa45afc5a401b49bb6fbbf9e8120
6	SmpScCalcF4	linked	0x0056CF2C	0x0056CF74	72	02e856cb84effbc598983b323900bec2ce6e282d919f627b530cbe7a6686d3ba	218-235	6f267f8002677136bfc24a311fa11a98d71fe716562b4bcf5a39c8903e68c1d7
7	SmpScInit	linked	0x0056CF74	0x0056CFC2	78	23fa2e60915101f23de4f7c22273e7c420870ea0e2f3917e8931f7b2bafc9abd	247-259	90dc3f4e5ed447545369631c8375dd701aed6172f44a13a94ffcc768ef06e1a7
8	SmpScCat	linked	0x0056CFC2	0x0056CFDC	26	711c3070893e4ac6e2c512cb60efd42ea424c243d50cffece60ac2af44861858	272-276	3d0244f89d092f20af45095f2f0f6c415603747bf0e8325fe34e8c3b34e96973
9	SmpScCat128	linked	0x0056CFDC	0x0056CFEC	16	f3af0ed60910650f4b14cb1fcaf65e7f7f0c161f3fb2799f404003b6cb352a77	288-292	78e278650676f0d578deb6768fcb15145353b6ec1b8d387ef6731f42c8bc308c
10	smpScSendPubKey	linked	0x0056CFEC	0x0056D054	104	8ad539bd1e8095e07a03765387239282972f05741993cd60333987c750ab1443	304-338	e72a82bfa656d37053f8f4f38116a0aeedc104a3d349ff6cc2fc27384d2f0da4
11	smpScSendDHKeyCheck	linked	0x0056D054	0x0056D0A8	84	69380f4788cc5c8fedf431b7e5f38372f980303e7935118a6e41bbefbf203df5	351-381	a739ccb0551a538999e9001c9b6561d16db1d5119b023277d08304e2bc8d1048
12	smpScSendRand	linked	0x0056D0A8	0x0056D0FC	84	4fd50a1d2f26320ee057db719e520d0dcdc5146d45d675d610a4ce75ebae37c8	394-425	bbf5c571e12f54aeebc7c9206cfb59763147c1c65c9e6d3b3c279819f97b106d
13	smpScSendPairCnf	linked	0x0056D0FC	0x0056D150	84	00338f38d035cca70c7ff5db5161b825fc8b677f6f30649c6278580397917297	438-468	e60fc1c8cfcbfe3e6bce9ce1a708ed4ddf2fe4680f6d8e839482f9d6db25d7f1
14	smpGetPkBit	linked	0x0056D150	0x0056D188	56	5f1020643bb679407b0fd9314f0639259f85cc9ac05d3b69e14f942fb588d155	479-489	cd47d4348a70e09ade1527f570a3a866f6ae3f98a0722f8b567e96cea49b6d19
15	smpGetPeerPublicKey	dead_stripped			0		500-510	58e4fea777ec65dea6b010b9a7826db490270d1ae1ae44455e6ff7f8bf6973fe
16	smpSetPeerPublicKey	dead_stripped			0		522-530	97939befd12b95bb7619c2e097bab3d64f2c1212b93fd5adda35aef1483b7bcb
17	SmpScSetOobCfg	dead_stripped			0		542-567	6ec237789193f97a3b359a1f17a293c58f3f044dd0b816561d45222078ff3e4f
18	SmpScGetCancelMsgWithReattempt	linked	0x0056D188	0x0056D2F8	368	eb347a14a1da50b818cffc2d3671196eb9e34bc8d53c6e814b836dbfa21e3272	580-604	a2ccbdc9ec58c18f6e6d661fb57d23c3d7c87423bacd50360f5f302fb3cd477a
19	smpScFailWithReattempt	linked	0x0056D304	0x0056D31E	26	18c480c3947dca1b25b700c19de0d844ed45171b70febb5e5917c1373a9add8b	615-622	d77cde8033585d68daddca4eecb73f5e2b09c79744fdecac41d2c75d3076f94b
20	smpEventStr	linked	0x0056D31E	0x0056D454	310	bb711db32529357558a26f7cef9ebdfd60c0a9f5bd427217c4a0845f22a36cd7	633-670	0193d4f1f2095507a7f9cf3ca6e4a45d731806da9d21e9bcd9f03e5cd4371b53
21	smpStateStr	linked	0x0056D454	0x0056D474	32	5a179a37cbac36f66f5de0daaf267f80665e76934f17590cc6f65ce8eb29e2b5	681-691	db8ca324b56793bdcdc11687372ab0a8e1738f46eb6ea708728d6c2d0b58326a
22	smpLogByteArray	linked	0x0056D478	0x0056D812	922	8bb51fdfb9231ae54ecf36eeffa85547dc024cff82aa1787d72e46a3fa11f82f	704-758	32d958cf6dfaba9881f4e0000852bcec4f7955c9943c744b7cf83f7f977ad024
