source_order	function	stock_status	stock_start	stock_end_exclusive	stock_bytes	stock_sha256	r20_r44_lines	r20_r44_body_sha256
1	smpiActPairReq	linked	0x005E3118	0x005E3198	128	9d11f50e5d87cef315b37de337b4459df84125fac4ceadd9dc6fbd451d8da911	47-84	be352c38eb0cdc3a5b6a4c9c02db58dc63bd87e5633f61bdb77418ea3517d67c
2	smpiActCheckSecurityReq	linked	0x005E3198	0x005E31B0	24	993b170e2c09d9ab771bb89fb0d55eca3863f3f8d3052bb8e3dd2daa1fc9193a	96-104	303233dec2fe1ef4a9b76e3075dbf029bc2327adea94568b51c70597ead4310b
3	smpiActProcSecurityReq	linked	0x005E31B0	0x005E31D6	38	9dc3e28d00bde0baab7a66a188dae51acb572b73c40ade1aeb21e2f0121da225	116-129	4ebd2b4bfe39eff71a99e4bc54e6a5c9e08fc43f95781db8d15369b5cc26958d
4	smpiActProcPairRsp	linked	0x005E31D6	0x005E3244	110	96324a0759863b0e8ea9f40ddb2eb28d2e54bea4346a0fef50a6d151359b7ae8	141-170	a25f1d429bba91c3edd1e5020f54fa70fe087d56e26f14521a81fcc788b1e53f
5	smpiActProcPairCnf	linked	0x005E3244	0x005E3296	82	38b8d77f55990886206e514b24ad3a74e1f7bd7d17903d4c766a48d7dfb95c29	182-210	f610ed21250a3db165868006b9d508be8f238a81a3c6a5e67cdc66810c9c73b9
6	smpiActCnfVerify	linked	0x005E3296	0x005E32FC	102	8658055e654a4bb9e0477e754f5933ddbe887c25bc19cc69b7e61dc31c605537	222-250	ab26e6a23082592147bb133c8e52dbd0528a7e2e30cbd61a4af7ee0e33902482
7	smpiActStkEncrypt	linked	0x005E32FC	0x005E335C	96	6c1672e2e7039bb2f7ac6557f69397924e69d74bb4fdba61a7e49834cf2526f2	262-278	b78bb62d1bc5dbb73d8f9ae94b9cac4b5850e3b20f445611a3b3dc75e8c32823
8	smpiActSetupKeyDist	linked	0x005E335C	0x005E3404	168	fafd5f64d547abb4d76c71028fad1f841d523e3d6e6bbe94156fb7a427717cfc	290-340	686deb06302ddfc9468275db51cdb20ebc00503b3d7469c4b7a32cbec2e941d5
9	smpiActRcvKey	linked	0x005E340C	0x005E3440	52	83f8c9a8fdd538e5261a272c715f5b62956a325f785d0085147607df844fae29	352-368	c4c6631a97538d60ad838d71a442f3174cc8cec8b48c16558529675c155f828d
10	smpiActSendKey	linked	0x005E3440	0x005E3474	52	1a0796eb882b9a1ef4744f4847b1a8ad41c1fc253aa6aa8a6a9c80962d849052	380-395	1267268390f4133d47cc34490806f68bfaac56d9949aa03e49bc644112cb12fb
