symbol	provider	closure_probe
BdaCpy	WSF BDA utility	resolved_by_local_stub
DmLlAddrType	DM address utility	resolved_by_local_stub
HciLeSetAdvDataCmd	HCI command API	resolved_by_local_stub
HciLeSetAdvEnableCmd	HCI command API	resolved_by_local_stub
HciLeSetAdvParamCmd	HCI command API	resolved_by_local_stub
HciLeSetScanRespDataCmd	HCI command API	resolved_by_local_stub
HciVsInit	HCI vendor initialization	resolved_by_local_stub
WsfAssert	WSF assert provider	resolved_by_local_stub
WsfTaskLock	WSF task lock	resolved_by_local_stub
WsfTaskUnlock	WSF task lock	resolved_by_local_stub
WsfTimerStartMs	WSF timer	resolved_by_local_stub
WsfTimerStop	WSF timer	resolved_by_local_stub
WsfTrace	WSF trace provider	resolved_by_local_stub
dmAdvCb	DM advertising control block	resolved_by_local_stub
dmAdvGenConnCmpl	DM advertising completion provider	resolved_by_local_stub
dmAdvInit	DM advertising common initializer	resolved_by_local_stub
dmCb	DM main control block	resolved_by_local_stub
dmDevCb	DM device control block	resolved_by_local_stub
dmDevPassEvtToDevPriv	DM device privacy event provider	resolved_by_local_stub
dmFcnIfTbl	DM component interface table	resolved_by_local_stub
