translation_unit	class	path	bytes	sha256
wsf_assert	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_assert.c	1864	f51b7b1441cef0aaed55fdaf84680684813d1fe6182245660e8b21313ce54b1f
wsf_assert	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_types.h	2118	69c8b5382a397284b9c9ac686e2345503a396f1c5eb305064720feb83bed91b1
wsf_assert	compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stdint.h		recorded by pinned container identity
wsf_assert	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_assert.h	2862	d3518013f48697e0033a5d8488cb7ec5a7cb75e6961f129f66a0d562802dcbe4
wsf_assert	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_os.h	7073	8ea50e3b084ea103ed505e5dd328c89d751df4958f45f447fd083e1bea8d20c9
wsf_assert	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_os_int.h	4118	24d06d04a64f5d1b3f7efa0a1be74ce5bae24e1cfb695cb2c865ec03caa0b3a4
wsf_assert	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_queue.h	5730	3657f2e5bc8c9e9c77ba766ddb5b9488947464fc8077eee0d89cd3f08d6025cd
wsf_trace	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_trace.c	6275	677ad691762aebf972304cf3720a1d7d7ca3eb77077231f52d68e5658cd7d918
wsf_trace	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_types.h	2118	69c8b5382a397284b9c9ac686e2345503a396f1c5eb305064720feb83bed91b1
wsf_trace	compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stdint.h		recorded by pinned container identity
wsf_trace	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_trace.h	15307	41d28cd39d4e0fda71ba031ed766321c4df1d90888cb40c1f7d62cad1198d50f
wsf_trace	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_assert.h	2862	d3518013f48697e0033a5d8488cb7ec5a7cb75e6961f129f66a0d562802dcbe4
wsf_trace	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_cs.h	2847	8837e8880b96b40f78fabc59bd65f7d892f576b13af5b14f32a12a13d4e0e10f
wsf_trace	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_os.h	7073	8ea50e3b084ea103ed505e5dd328c89d751df4958f45f447fd083e1bea8d20c9
wsf_trace	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/sources/port/freertos/wsf_os_int.h	4118	24d06d04a64f5d1b3f7efa0a1be74ce5bae24e1cfb695cb2c865ec03caa0b3a4
wsf_trace	ambiqsuite_2.5.1_archive	AmbiqSuite-R2.5.1/third_party/cordio/wsf/include/wsf_queue.h	5730	3657f2e5bc8c9e9c77ba766ddb5b9488947464fc8077eee0d89cd3f08d6025cd
wsf_trace	stock_abi_cleanroom_shim	shim/string.h	159	7120c2629b0e3db4586be9ab7b7498492383932384b1d4921ca32a75089328e1
wsf_trace	compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stddef.h		recorded by pinned container identity
wsf_trace	compiler_builtin	/usr/lib/gcc/arm-none-eabi/13.2.1/include/stdarg.h		recorded by pinned container identity
wsf_trace	stock_abi_cleanroom_shim	shim/stdio.h	137	1d8de98707402c60dba397b5921e7497470013245a2d8c1a320d0609cb3e4ab5
wsf_trace	stock_abi_cleanroom_shim	shim/stdbool.h	163	3a445212ccad8350cea10cd824f06bfb69958c28e04dadf429c367af22f860c7
wsf_trace	stock_abi_cleanroom_shim	shim/am_util_debug.h	181	2907935c2f943655aec727bc43ece256ccd6babaf125fc97b07de13855637499
wsf_trace	stock_abi_cleanroom_shim	shim/am_util_stdio.h	328	275c695e248036674f24e58d2f6f830ca11b323612c70f43eaf4e59f101f46ad
