config	function	start	end	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256
O0	WsfCsEnter	0x0052b8a4	0x0052b8b6	40	18	22	no	no	671e2eb16278b29599f522db56f1d003550d487082f85e51d37d007ec5a8d397	e0ff3f4fa338e939616823c70ae7fc13df075b7de32178db2810cf9eb39edb87	e7d6bf47c246d50738767e3b075a7318e535bc2b63c06bb1b537d26f42fb733d	ecaf8feb6f26e60789b06550c8f5d908cf7d6913e4d9d2e720cf316635ebaca0
O0	WsfCsExit	0x0052b8b6	0x0052b8c8	40	18	22	no	no	ee4568ea87f50189efd36e81a81aed1e64e74f7c9653fd9e16dd07192a15c6a6	8685a9a54cba4040bb297f58f5bc9e0d5beed1f46a7159363edc8f80648e824c	90b997d0cc4f509b84a251dcd360188243781efb73f0744e585a3417fb8cae07	73e498637a31e7c030c730926d7834c10dc05c3f4c0cbf655a3556e4b43d9ce6
O0	WsfTaskLock	0x0052b8c8	0x0052b8d0	12	8	4	no	no	fdba43fb48a58857a123f550faa2c6376bd5a1b02f953bb7936d81dead5419c6	4ae68a8cc15e75c482171f6fdd1e56d9bf7a9a787f56a9761e89af9833911f02	fe0616f3c79e3e8b339e098bbdb4bf6158c06187eee37f506a6828ccce7bcb1c	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
O0	WsfTaskUnlock	0x0052b8d0	0x0052b8d8	12	8	4	no	no	fdba43fb48a58857a123f550faa2c6376bd5a1b02f953bb7936d81dead5419c6	19785a8c5eb6c2e10cd274c554a5d7d1b649a94433f558511c02cdb5405397a1	fe0616f3c79e3e8b339e098bbdb4bf6158c06187eee37f506a6828ccce7bcb1c	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
O0	WsfSetOsSpecificEvent	0x0052b8d8	0x0052b91e	152	70	82	no	no	d4048f6911c53eecb9f63e884a6f65ce9080fafda1cdb13502289437fdaf7e55	a7a1285078ac515a4fea7ad18a50ab44ec84ba9f1c39e07df875dfa0f8681465	9298666a698fea4d83660140f830a6aca7e81e062020abc54a64eb63c55ff161	5bab032b9a03b5da1e125a9f2f46925b105b213fc0e1b627f14929a7e3c1310e
O0	WsfSetEvent	0x0052b91e	0x0052b95e	96	64	32	no	no	903a643021f6b1c42fc02487ddbd9c3e09798da6905b93b5e74bab6051282f8e	62fda22da8f5aec6255e52e820a4570a593fa4637a710ce93ebfbdca428f7db8	bb11da7dccd8974977162a72490aff32dd6de657049999747057237fb257f059	724f5a993959a0c2b9228dcf808ca0727989c8c92002333808523bc1b8e9945d
O0	WsfTaskSetReady	0x0052b95e	0x0052b97c	60	30	30	no	no	415806d48e06fc92067d497209f4c43d0b7888856dfc217d5cfb5b7f9d3ba532	feaf10178e32248aebd53109fd9c1a95e1d757484102fc7a775203160e257ff7	6d04afdb5fafca1d2b87c60580758240a03e81ff0555a7917bb506daf2726e0a	0639a0781d3e05d201e72ada9ed84a87c59621cfa0099c68397bebe84ed90129
O0	WsfTaskMsgQueue	0x0052b97c	0x0052b980	28	4	24	no	no	7ba22c3fdad7cb103331b697422755d8d66b3ccc0ecfac59ca1a5db1fef12097	c38df642688ef2e1df139d8ba9e7854fe109c68c84bfe8e97010f955fa56291b	b935484748039f018020b0d01bf0004b4c2f3d628a3ccf0a34eedcbe4f4de362	df329c59cf0ae884d28a341c86d7f784817e685c5d35445414c5570c45e4ee46
O0	WsfOsSetNextHandler	0x0052b980	0x0052b99e	52	30	22	no	no	bea9db1e281ea03abae652d2a2c3e90cf10dee87fbaf7a926b739b4f1a5885ee	614f7f6c030d12ac7cb0ace224d26318a3089bc47a0d1fc24a17cf51cb7a396b	badc04faa10b01a6275d5e1bf9e819e192c4df805a20f21e32a2ba2417dfd79d	6f20c8e8b4cca9a3c57d5215c9a15858808a9905762264a6bd8c8961694d4f02
O0	wsfOsReadyToSleep	0x0052b99e	0x0052b9b2	32	20	12	no	no	e339b3f42e94cbb213fd4d0425454752154491bdca3c123571c220e3af21570a	633892695925666e4dc9d7d89588807653985ae2321217b58b5c215bb6ab6ebc	bf661567861cc14257cb9b5a97240658feef63e9d4b86f525d51fbd1bd624df2	2ee7fe67a3ef343a69cf87889f2316f44515d27ec5c6d70f7c699b49eca4fb5a
O0	WsfOsInit	0x0052b9b2	0x0052b9d0	44	30	14	no	no	c7e22dd6a0158076eca3e55aa4ace6a9c232912ae0a3cec907ae6db8c1d5e7d2	f9c905e97f08e91afc84d8c6df9ed24e71e26accbea503f8f423f98e8e8ff6bb	40762b05e2ee96b51b159566a6e7510ff3f431c3a8960a8224414e32279b69b3	9a0606e882bde29307699799161a591e273941b5e42466ad9f77c1418086a549
O0	wsfOsDispatcher	0x0052b9d0	0x0052bab8	308	232	76	no	no	35ae2e61ac50293f86fe05d1ae7878de33354c968de40f26a75848440d415886	49ba08ce0c35eb58c098babd1ad0e4d68c303c67bf8e2543be552511732474d8	6f199ca5d3ee91c8505a03e1fe9819369787e96fbe416e5fb31af96b53a8e0df	c52f0e9655fc23f90c04e7533369fcb2b5f4ae5dcf6b1d4a95e6a216b5dd0d73
Og	WsfCsEnter	0x0052b8a4	0x0052b8b6	24	18	6	no	no	ab22c3ef2c8cddb6404305d56f9ce2b524a6e80b2e922d1c916ef7ac13442e52	e0ff3f4fa338e939616823c70ae7fc13df075b7de32178db2810cf9eb39edb87	a5446b7f781253665748821a1e1022527480fa0a4b62105d8264e2a4070af99a	ecaf8feb6f26e60789b06550c8f5d908cf7d6913e4d9d2e720cf316635ebaca0
Og	WsfCsExit	0x0052b8b6	0x0052b8c8	20	18	2	no	no	7584e545533ab7411e3dc3b352c1c8003a829aa1659db54076aabd2171404cf1	8685a9a54cba4040bb297f58f5bc9e0d5beed1f46a7159363edc8f80648e824c	4e752b0261b87b14410e6130ba811bd20b7ef961db4c244020edc1f54815e4bd	73e498637a31e7c030c730926d7834c10dc05c3f4c0cbf655a3556e4b43d9ce6
Og	WsfTaskLock	0x0052b8c8	0x0052b8d0	8	8	0	no	no	bcf32a2422f679d984c910bebd3c2a13d9880efa63e60a70a2c5d7bfa5822f3c	4ae68a8cc15e75c482171f6fdd1e56d9bf7a9a787f56a9761e89af9833911f02	de7e4817d86b32d327116a06b269cd1399d6ce33027c5f6da8b7226f066d0cfe	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
Og	WsfTaskUnlock	0x0052b8d0	0x0052b8d8	8	8	0	no	no	bcf32a2422f679d984c910bebd3c2a13d9880efa63e60a70a2c5d7bfa5822f3c	19785a8c5eb6c2e10cd274c554a5d7d1b649a94433f558511c02cdb5405397a1	de7e4817d86b32d327116a06b269cd1399d6ce33027c5f6da8b7226f066d0cfe	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
