caller_entry,caller_name,callsite,callee_entry,callee_name,reference_type
0x000f8208,"armcc_runtime_entry_veneer",0x000f820a,0x000fadc8,"main","COMPUTED_CALL"
0x000f83c4,"SVC_Handler",0x000f83d2,0x000fc3e4,"nrf_svc_handler_c","UNCONDITIONAL_CALL"
0x000f83d8,"Reset_Handler",0x000f83da,0x000f9a10,"SystemInit","COMPUTED_CALL"
0x000f846a,"armcc_memclr",0x000f846c,0x000f845c,"armcc_memset_core","UNCONDITIONAL_CALL"
0x000f846e,"memset",0x000f8478,0x000f845c,"armcc_memset_core","UNCONDITIONAL_CALL"
0x000f84c8,"armcc_scatterload",0x000f84d8,0x000f9c44,"armcc_scatterload_copy","COMPUTED_CALL"
0x000f84c8,"armcc_scatterload",0x000f84e0,0x000f8208,"armcc_runtime_entry_veneer","UNCONDITIONAL_CALL"
0x000f852c,"PkaAddAff",0x000f8600,0x000f9124,"PkaJcb2Afn","UNCONDITIONAL_CALL"
0x000f8cf4,"PkaEcdsaVerify",0x000f8eae,0x000f9258,"PkaSum2ScalarMullt","UNCONDITIONAL_CALL"
0x000f8f80,"PkaFinishAndMutexUnlock",0x000f8f92,0x000f87d4,"PkaClearBlockOfRegs","UNCONDITIONAL_CALL"
0x000f90a8,"PkaInitPka",0x000f9100,0x000f91d4,"PkaSetRegsMapTab","UNCONDITIONAL_CALL"
0x000f90a8,"PkaInitPka",0x000f9108,0x000f921c,"PkaSetRegsSizesTab","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f92b6,0x000f9018,"PkaGetRegEffectiveSizeInBits","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f92be,0x000f9018,"PkaGetRegEffectiveSizeInBits","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f92ca,0x000f9018,"PkaGetRegEffectiveSizeInBits","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f92d0,0x000f852c,"PkaAddAff","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f92dc,0x000f8fa4,"PkaGetNextMsBit","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f92ea,0x000f8fa4,"PkaGetNextMsBit","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f9350,0x000f9124,"PkaJcb2Afn","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f939c,0x000f8fa4,"PkaGetNextMsBit","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f93aa,0x000f8fa4,"PkaGetNextMsBit","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f93b4,0x000f8b48,"PkaDoubleMdf2Mdf","UNCONDITIONAL_CALL"
0x000f9258,"PkaSum2ScalarMullt",0x000f93ba,0x000f89d0,"PkaDoubleMdf2Jcb","UNCONDITIONAL_CALL"
