address,end,length,data_type,value
0x000f8004,0x000f8007,4,"undefined *","000f83d9"
0x000f8008,0x000f800b,4,"undefined *","000f83e1"
0x000f800c,0x000f800f,4,"undefined *","000f83e3"
0x000f8010,0x000f8013,4,"undefined *","000f83e5"
0x000f8014,0x000f8017,4,"undefined *","000f83e7"
0x000f8018,0x000f801b,4,"undefined *","000f83e9"
0x000f802c,0x000f802f,4,"undefined *","000f83c5"
0x000f8030,0x000f8033,4,"undefined *","000f83ed"
0x000f8038,0x000f803b,4,"undefined *","000f83ef"
0x000f803c,0x000f803f,4,"undefined *","000f83f1"
0x000f8040,0x000f8043,4,"undefined *","000f83f3"
0x000f8044,0x000f8047,4,"undefined *","000f83f3"
0x000f8048,0x000f804b,4,"undefined *","000f83f3"
0x000f804c,0x000f804f,4,"undefined *","000f83f3"
0x000f8050,0x000f8053,4,"undefined *","000f83f3"
0x000f8054,0x000f8057,4,"undefined *","000f83f3"
0x000f8058,0x000f805b,4,"undefined *","000f83f3"
0x000f805c,0x000f805f,4,"undefined *","000f83f3"
0x000f8060,0x000f8063,4,"undefined *","000f83f3"
0x000f8064,0x000f8067,4,"undefined *","000f83f3"
0x000f8068,0x000f806b,4,"undefined *","000f83f3"
0x000f806c,0x000f806f,4,"undefined *","000f83f3"
0x000f8070,0x000f8073,4,"undefined *","000f83f3"
0x000f8074,0x000f8077,4,"undefined *","000f83f3"
0x000f8078,0x000f807b,4,"undefined *","000f83f3"
0x000f807c,0x000f807f,4,"undefined *","000f83f3"
0x000f8080,0x000f8083,4,"undefined *","000f9c31"
0x000f8084,0x000f8087,4,"undefined *","000f83f3"
0x000f8088,0x000f808b,4,"undefined *","000f83f3"
0x000f808c,0x000f808f,4,"undefined *","000f83f3"
0x000f8090,0x000f8093,4,"undefined *","000f83f3"
0x000f8094,0x000f8097,4,"undefined *","000f83f3"
0x000f8098,0x000f809b,4,"undefined *","000f9a0d"
0x000f809c,0x000f809f,4,"undefined *","000f83f3"
0x000f80a0,0x000f80a3,4,"undefined *","000f83f3"
0x000f80a4,0x000f80a7,4,"undefined *","000f83f3"
0x000f80a8,0x000f80ab,4,"undefined *","000f83f3"
0x000f80ac,0x000f80af,4,"undefined *","000f83f3"
0x000f80b0,0x000f80b3,4,"undefined *","000f83f3"
0x000f80b4,0x000f80b7,4,"undefined *","000f83f3"
0x000f80c0,0x000f80c3,4,"undefined *","000f83f3"
0x000f80c4,0x000f80c7,4,"undefined *","000f83f3"
0x000f80c8,0x000f80cb,4,"undefined *","000f83f3"
0x000f80cc,0x000f80cf,4,"undefined *","000f83f3"
0x000f80d0,0x000f80d3,4,"undefined *","000f9999"
0x000f80d4,0x000f80d7,4,"undefined *","000f83f3"
0x000f80d8,0x000f80db,4,"undefined *","000f83f3"
0x000f80dc,0x000f80df,4,"undefined *","000f83f3"
0x000f80e0,0x000f80e3,4,"undefined *","000f83f3"
0x000f80e4,0x000f80e7,4,"undefined *","000f83f3"
0x000f80e8,0x000f80eb,4,"undefined *","000f84ed"
0x000f820c,0x000f820f,4,"undefined4","0xfadc9"
0x000f8214,0x000f8217,4,"undefined4","0x2000cfa0"
0x000f83f4,0x000f83f7,4,"undefined4","0xf9a11"
0x000f83f8,0x000f83fb,4,"undefined4","0xf8201"
0x000f84e8,0x000f84eb,4,"undefined4","0xfde3c"
0x000f8504,0x000f8507,4,"undefined4","0x5002ba04"
0x000f8508,0x000f850b,4,"undefined4","0x20008f98"
0x000f850c,0x000f850f,4,"undefined4","0x5002ba08"
0x000f8604,0x000f8607,4,"undefined4","0x5002b0b0"
0x000f8608,0x000f860b,4,"undefined4","0x5002b080"
0x000f860c,0x000f860f,4,"undefined4","0x29014380"
0x000f8610,0x000f8613,4,"undefined4","0x21396340"
0x000f8614,0x000f8617,4,"undefined4","0x29017080"
0x000f8618,0x000f861b,4,"undefined4","0x21542080"
0x000f861c,0x000f861f,4,"undefined4","-0x6fcb2f00"
0x000f8620,0x000f8623,4,"undefined4","-0x6fcbbf40"
0x000f8624,0x000f8627,4,"undefined4","0x292030c0"
0x000f8628,0x000f862b,4,"undefined4","-0x6ff2ac40"
0x000f862c,0x000f862f,4,"undefined4","-0x6fc7bf00"
0x000f8630,0x000f8633,4,"undefined4","-0x37f7dc7d"
0x000f8634,0x000f8637,4,"undefined4","0x2110e380"
0x000f8638,0x000f863b,4,"undefined4","0x21384100"
0x000f863c,0x000f863f,4,"undefined4","-0x37f7bc31"
0x000f8784,0x000f8787,4,"undefined4","0x5002b0b0"
0x000f8788,0x000f878b,4,"undefined4","0x5002b080"
0x000f878c,0x000f878f,4,"undefined4","-0x6fbefbc0"
0x000f8790,0x000f8793,4,"undefined4","0x29298600"
0x000f8794,0x000f8797,4,"undefined4","-0x37feef28"
0x000f8798,0x000f879b,4,"undefined4","-0x6fbeebc0"
0x000f879c,0x000f879f,4,"undefined4","0x29211440"
0x000f87a0,0x000f87a3,4,"undefined4","0x21651440"
0x000f87a4,0x000f87a7,4,"undefined4","-0x6fbfcc00"
0x000f87a8,0x000f87ab,4,"undefined4","-0x6ff3cf00"
0x000f87ac,0x000f87af,4,"undefined4","-0x6ff3bf40"
0x000f87b0,0x000f87b3,4,"undefined4","0x292030c0"
0x000f87b4,0x000f87b7,4,"undefined4","-0x6ff269c0"
0x000f87b8,0x000f87bb,4,"undefined4","-0x6f9fbf00"
0x000f87bc,0x000f87bf,4,"undefined4","-0x37bae9fd"
0x000f87c0,0x000f87c3,4,"undefined4","0x21118600"
0x000f87c4,0x000f87c7,4,"undefined4","0x21604100"
