entry,name,body_min,body_max,body_bytes,body_sha256,body_ranges,thunk,external,calling_functions,called_functions
0x000f8208,"armcc_runtime_entry_veneer",0x000f8208,0x000f820b,4,6b6b0f7315d31682c7f8059490eb3df143139881118c2c78a5b82ce1834d895d,"000f8208-000f820b",true,false,"armcc_scatterload@000f84c8","main@000fadc8"
0x000f8218,"nrf_atfifo_wspace_req",0x000f8218,0x000f824f,56,0570cadf2a25e32dd485590406673a43123490221fe70a0e390ef604b32e9520,"000f8218-000f824f",false,false,"nrf_atfifo_item_alloc@000fae2e",""
0x000f8250,"nrf_atfifo_wspace_close",0x000f8250,0x000f8261,18,6b65bd1569079ca479605bdca6fcc17ec07f611d3c456339f9a1bd4064bf7c52,"000f8250-000f8261",false,false,"nrf_atfifo_item_put@000fae70",""
0x000f8262,"nrf_atfifo_rspace_req",0x000f8262,0x000f829b,58,efcce02d400b548797a5bdcc1a9ccba1f97c2457e1dbee9ca3df3bd8e8372133,"000f8262-000f829b",false,false,"nrf_atfifo_item_get@000fae5a",""
0x000f829c,"nrf_atfifo_rspace_close",0x000f829c,0x000f82ad,18,92d0a6e674923229ae25b9b9aa5752884cc03f885d42587a7dfbcc71cb6b2bd2,"000f829c-000f82ad",false,false,"nrf_atfifo_item_free@000fae44",""
0x000f82ae,"nrf_atfifo_space_clear",0x000f82ae,0x000f82df,50,4b7dc70c105bfae7efd9a2fd06f981d9737ee158430929dddb7fbc8a9a750123,"000f82ae-000f82df",false,false,"nrf_atfifo_clear@000fadf8",""
0x000f82e0,"nrf_atomic_internal_mov",0x000f82e0,0x000f82f7,24,b08d704a50911733750b6ca4d6747761c7fe1976f911b070bb0cc5e242c32c5c,"000f82e0-000f82f7",false,false,"nrf_atomic_u32_fetch_store@000faea8",""
0x000f82f8,"nrf_atomic_internal_orr",0x000f82f8,0x000f8311,26,21f16c5f5bcf36d31dffa0be66659eb58cb0f1bece0f46b161d66308ea7cfcbb,"000f82f8-000f8311",false,false,"nrf_atomic_u32_fetch_or@000fae8c",""
0x000f8312,"nrf_atomic_internal_and",0x000f8312,0x000f832b,26,9c531675a4d5e08517e0471371bf02b770481e68d8a4ff13d86391bd26c7fdb1,"000f8312-000f832b",false,false,"nrf_atomic_flag_clear@000fae86",""
0x000f832c,"nrf_atomic_internal_eor",0x000f832c,0x000f8345,26,84a3a7f19ae0a955c298bb1e3cee8a45c9c8fd93ed9e4066e9214c4efbf32cd3,"000f832c-000f8345",false,false,"",""
0x000f8346,"nrf_atomic_internal_add",0x000f8346,0x000f835f,26,4f8e163a153550b385c9188dcd70e057222c3ce2c824650216e2ee6b7eb2290a,"000f8346-000f835f",false,false,"",""
0x000f8360,"nrf_atomic_internal_sub",0x000f8360,0x000f8379,26,9c184432d0ea03367fa1cbebd9772c0c6c54f2859a087574b5c8d0dab6f3aa8f,"000f8360-000f8379",false,false,"",""
0x000f837a,"nrf_atomic_internal_cmp_exch",0x000f837a,0x000f83a3,42,b297e52e1d4dcec9c881811c93e2a1045408622803af8c22beaa560863be3829,"000f837a-000f83a3",false,false,"",""
0x000f83a4,"nrf_atomic_internal_sub_hs",0x000f83a4,0x000f83c1,30,241f9b4168de6798eed7ff49e177c122bed243c1e1ac311d67d3e93bac15fd91,"000f83a4-000f83c1",false,false,"",""
0x000f83c4,"SVC_Handler",0x000f83c4,0x000f83d5,18,f7307ba7be30a5c4dd4a39b3423dd3164254b5aadd533670ae9b583be80a5115,"000f83c4-000f83d5",false,false,"","nrf_svc_handler_c@000fc3e4"
0x000f83d8,"Reset_Handler",0x000f83d8,0x000f83df,8,335e143491219cd2f2e95a0bd0c5e12840153e92076f274a8c0b2126fb41d677,"000f83d8-000f83df",false,false,"","SystemInit@000f9a10"
0x000f83e0,"NMI_Handler",0x000f83e0,0x000f83e1,2,575fc8fa9e92ffe7d57a6aef6f1168f39da04f07d6bcd5b5e17883bff7b33165,"000f83e0-000f83e1",false,false,"",""
0x000f83e2,"HardFault_Handler",0x000f83e2,0x000f83e3,2,575fc8fa9e92ffe7d57a6aef6f1168f39da04f07d6bcd5b5e17883bff7b33165,"000f83e2-000f83e3",false,false,"",""
