r1_entry,r1_name,rank,reference_entry,reference_name,similarity,significance,r1_self_significance,reference_self_significance
0x000f83e6,"BusFault_Handler",1,0x000f82e4,"NMI_Handler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",2,0x000f82e6,"HardFault_Handler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",3,0x000f82e8,"MemoryManagement_Handler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",4,0x000f82ea,"BusFault_Handler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",5,0x000f82ec,"UsageFault_Handler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",6,0x000f82f0,"DebugMon_Handler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",7,0x000f82f2,"PendSV_Handler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",8,0x000f82f4,"SysTick_Handler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",9,0x000f82f6,"COMP_LPCOMP_IRQHandler",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",10,0x000fd928,"_exit",1.000000000,8.766523578,8.766523578,8.766523578
0x000f83e6,"BusFault_Handler",11,0x000f8240,"_stack_init",0.000000000,4.214273637,8.766523578,8.379975367
0x000f83e6,"BusFault_Handler",12,0x000f87e4,"rmap",0.000000000,4.214273637,8.766523578,8.572937276
0x000f84ec,"CRYPTOCELL_IRQHandler",1,0x000f9e1c,"nrf_bootloader_wdt_feed_timer_start",0.105600483,2.495425561,17.048353566,16.112391892
0x000f84ec,"CRYPTOCELL_IRQHandler",2,0x000fa420,"pb_istream_from_buffer",0.094491870,2.100254662,17.048353566,16.348298473
0x000f84ec,"CRYPTOCELL_IRQHandler",3,0x000f8248,"_start",0.000000000,1.718431389,17.048353566,17.465628009
0x000f84ec,"CRYPTOCELL_IRQHandler",4,0x000f9390,"nrf_sdh_ble_evts_poll",0.000000000,1.718431389,17.048353566,15.911585613
0x000f84ec,"CRYPTOCELL_IRQHandler",5,0x000f93a0,"nrf_sdh_ble_app_ram_start_get",0.000000000,1.718431389,17.048353566,15.428501673
0x000f84ec,"CRYPTOCELL_IRQHandler",6,0x000fa0fc,"nrf_bootloader_wdt_feed",0.000000000,1.718431389,17.048353566,15.132416731
0x000f84ec,"CRYPTOCELL_IRQHandler",7,0x000fb2d8,"nrf_dfu_flash_init",0.000000000,1.718431389,17.048353566,15.470655266
0x000f84ec,"CRYPTOCELL_IRQHandler",8,0x000fb348,"nrf_dfu_mbr_copy_bl",0.000000000,1.718431389,17.048353566,15.951893824
0x000f84ec,"CRYPTOCELL_IRQHandler",9,0x000fbd3c,"crypto_init",0.000000000,1.718431389,17.048353566,16.229349774
0x000f84ec,"CRYPTOCELL_IRQHandler",10,0x000fd860,"exit",0.000000000,1.718431389,17.048353566,16.571403855
0x000f84ec,"CRYPTOCELL_IRQHandler",11,0x000fba44,"nrf_dfu_bank0_start_addr",0.094924723,1.268481307,17.048353566,18.512561266
0x000f84ec,"CRYPTOCELL_IRQHandler",12,0x000f8200,"__do_global_dtors_aux",0.000000000,0.843841358,17.048353566,15.089155543
0x000f8510,"CRYS_COMMON_ReverseMemcpy32",1,0x000fce84,"CRYS_COMMON_ReverseMemcpy32",1.000000000,43.234176672,43.234176672,43.234176672
