index,slot_address,raw_value,target_address,thumb,in_image
0,0x000f8000,0x2000cfa0,0x2000cfa0,false,false
1,0x000f8004,0x000f83d9,0x000f83d8,true,true
2,0x000f8008,0x000f83e1,0x000f83e0,true,true
3,0x000f800c,0x000f83e3,0x000f83e2,true,true
4,0x000f8010,0x000f83e5,0x000f83e4,true,true
5,0x000f8014,0x000f83e7,0x000f83e6,true,true
6,0x000f8018,0x000f83e9,0x000f83e8,true,true
7,0x000f801c,0x00000000,0x00000000,false,false
8,0x000f8020,0x00000000,0x00000000,false,false
9,0x000f8024,0x00000000,0x00000000,false,false
10,0x000f8028,0x00000000,0x00000000,false,false
11,0x000f802c,0x000f83c5,0x000f83c4,true,true
12,0x000f8030,0x000f83ed,0x000f83ec,true,true
13,0x000f8034,0x00000000,0x00000000,false,false
14,0x000f8038,0x000f83ef,0x000f83ee,true,true
15,0x000f803c,0x000f83f1,0x000f83f0,true,true
16,0x000f8040,0x000f83f3,0x000f83f2,true,true
17,0x000f8044,0x000f83f3,0x000f83f2,true,true
18,0x000f8048,0x000f83f3,0x000f83f2,true,true
19,0x000f804c,0x000f83f3,0x000f83f2,true,true
20,0x000f8050,0x000f83f3,0x000f83f2,true,true
21,0x000f8054,0x000f83f3,0x000f83f2,true,true
22,0x000f8058,0x000f83f3,0x000f83f2,true,true
23,0x000f805c,0x000f83f3,0x000f83f2,true,true
24,0x000f8060,0x000f83f3,0x000f83f2,true,true
25,0x000f8064,0x000f83f3,0x000f83f2,true,true
26,0x000f8068,0x000f83f3,0x000f83f2,true,true
27,0x000f806c,0x000f83f3,0x000f83f2,true,true
28,0x000f8070,0x000f83f3,0x000f83f2,true,true
29,0x000f8074,0x000f83f3,0x000f83f2,true,true
30,0x000f8078,0x000f83f3,0x000f83f2,true,true
31,0x000f807c,0x000f83f3,0x000f83f2,true,true
32,0x000f8080,0x000f9c31,0x000f9c30,true,true
33,0x000f8084,0x000f83f3,0x000f83f2,true,true
34,0x000f8088,0x000f83f3,0x000f83f2,true,true
35,0x000f808c,0x000f83f3,0x000f83f2,true,true
36,0x000f8090,0x000f83f3,0x000f83f2,true,true
37,0x000f8094,0x000f83f3,0x000f83f2,true,true
38,0x000f8098,0x000f9a0d,0x000f9a0c,true,true
39,0x000f809c,0x000f83f3,0x000f83f2,true,true
40,0x000f80a0,0x000f83f3,0x000f83f2,true,true
41,0x000f80a4,0x000f83f3,0x000f83f2,true,true
42,0x000f80a8,0x000f83f3,0x000f83f2,true,true
43,0x000f80ac,0x000f83f3,0x000f83f2,true,true
44,0x000f80b0,0x000f83f3,0x000f83f2,true,true
45,0x000f80b4,0x000f83f3,0x000f83f2,true,true
46,0x000f80b8,0x00000000,0x00000000,false,false
47,0x000f80bc,0x00000000,0x00000000,false,false
48,0x000f80c0,0x000f83f3,0x000f83f2,true,true
49,0x000f80c4,0x000f83f3,0x000f83f2,true,true
50,0x000f80c8,0x000f83f3,0x000f83f2,true,true
51,0x000f80cc,0x000f83f3,0x000f83f2,true,true
52,0x000f80d0,0x000f9999,0x000f9998,true,true
53,0x000f80d4,0x000f83f3,0x000f83f2,true,true
54,0x000f80d8,0x000f83f3,0x000f83f2,true,true
55,0x000f80dc,0x000f83f3,0x000f83f2,true,true
56,0x000f80e0,0x000f83f3,0x000f83f2,true,true
57,0x000f80e4,0x000f83f3,0x000f83f2,true,true
58,0x000f80e8,0x000f84ed,0x000f84ec,true,true
59,0x000f80ec,0x00000000,0x00000000,false,false
60,0x000f80f0,0x00000000,0x00000000,false,false
61,0x000f80f4,0x000f83f3,0x000f83f2,true,true
62,0x000f80f8,0x00000000,0x00000000,false,false
63,0x000f80fc,0x000f83f3,0x000f83f2,true,true
