caller_entry,caller_name,from_address,to_address,reference_type,callee_entry,callee_name
0x000f8208,"thunk_FUN_000fadc8",0x000f820a,0x000fadc8,"COMPUTED_CALL",0x000fadc8,"FUN_000fadc8"
0x000f83c4,"hardfault_exception_entry",0x000f83d2,0x000fc3e4,"UNCONDITIONAL_CALL",0x000fc3e4,"hardfault_c_handler"
0x000f83d8,"reset_handler",0x000f83da,0x000f9a10,"COMPUTED_CALL",0x000f9a10,"bootloader_entry"
0x000f846a,"FUN_000f846a",0x000f846c,0x000f845c,"UNCONDITIONAL_CALL",0x000f845c,"FUN_000f845c"
0x000f846e,"FUN_000f846e",0x000f8478,0x000f845c,"UNCONDITIONAL_CALL",0x000f845c,"FUN_000f845c"
0x000f84c8,"FUN_000f84c8",0x000f84d8,0x000f9c44,"COMPUTED_CALL",0x000f9c44,"thunk_FUN_000f9c4c"
0x000f84c8,"FUN_000f84c8",0x000f84e0,0x000f8208,"UNCONDITIONAL_CALL",0x000f8208,"thunk_FUN_000fadc8"
0x000f852c,"FUN_000f852c",0x000f8600,0x000f9124,"UNCONDITIONAL_CALL",0x000f9124,"FUN_000f9124"
0x000f8cf4,"FUN_000f8cf4",0x000f8eae,0x000f9258,"UNCONDITIONAL_CALL",0x000f9258,"FUN_000f9258"
0x000f8f80,"FUN_000f8f80",0x000f8f92,0x000f87d4,"UNCONDITIONAL_CALL",0x000f87d4,"FUN_000f87d4"
0x000f90a8,"FUN_000f90a8",0x000f9100,0x000f91d4,"UNCONDITIONAL_CALL",0x000f91d4,"FUN_000f91d4"
0x000f90a8,"FUN_000f90a8",0x000f9108,0x000f921c,"UNCONDITIONAL_CALL",0x000f921c,"FUN_000f921c"
0x000f9258,"FUN_000f9258",0x000f92b6,0x000f9018,"UNCONDITIONAL_CALL",0x000f9018,"FUN_000f9018"
0x000f9258,"FUN_000f9258",0x000f92be,0x000f9018,"UNCONDITIONAL_CALL",0x000f9018,"FUN_000f9018"
0x000f9258,"FUN_000f9258",0x000f92ca,0x000f9018,"UNCONDITIONAL_CALL",0x000f9018,"FUN_000f9018"
0x000f9258,"FUN_000f9258",0x000f92d0,0x000f852c,"UNCONDITIONAL_CALL",0x000f852c,"FUN_000f852c"
0x000f9258,"FUN_000f9258",0x000f92dc,0x000f8fa4,"UNCONDITIONAL_CALL",0x000f8fa4,"FUN_000f8fa4"
0x000f9258,"FUN_000f9258",0x000f92ea,0x000f8fa4,"UNCONDITIONAL_CALL",0x000f8fa4,"FUN_000f8fa4"
0x000f9258,"FUN_000f9258",0x000f9350,0x000f9124,"UNCONDITIONAL_CALL",0x000f9124,"FUN_000f9124"
0x000f9258,"FUN_000f9258",0x000f939c,0x000f8fa4,"UNCONDITIONAL_CALL",0x000f8fa4,"FUN_000f8fa4"
0x000f9258,"FUN_000f9258",0x000f93aa,0x000f8fa4,"UNCONDITIONAL_CALL",0x000f8fa4,"FUN_000f8fa4"
0x000f9258,"FUN_000f9258",0x000f93b4,0x000f8b48,"UNCONDITIONAL_CALL",0x000f8b48,"FUN_000f8b48"
0x000f9258,"FUN_000f9258",0x000f93ba,0x000f89d0,"UNCONDITIONAL_CALL",0x000f89d0,"FUN_000f89d0"
0x000f9258,"FUN_000f9258",0x000f93ce,0x000f8640,"UNCONDITIONAL_CALL",0x000f8640,"FUN_000f8640"
0x000f9490,"FUN_000f9490",0x000f9494,0x000f846e,"UNCONDITIONAL_CALL",0x000f846e,"FUN_000f846e"
0x000f95fc,"FUN_000f95fc",0x000f960a,0x000f948c,"UNCONDITIONAL_CALL",0x000f948c,"thunk_FUN_000f846e"
