entry,end,size,name,namespace,calling_convention,parameters,return_type,thunk,no_return,external
0x000f8208,0x000f820b,4,"thunk_FUN_000fadc8","Global","unknown",0,"undefined",true,false,false
0x000f8218,0x000f824f,56,"FUN_000f8218","Global","unknown",0,"undefined",false,false,false
0x000f8250,0x000f8261,18,"FUN_000f8250","Global","unknown",0,"undefined",false,false,false
0x000f8262,0x000f829b,58,"FUN_000f8262","Global","unknown",0,"undefined",false,false,false
0x000f829c,0x000f82ad,18,"FUN_000f829c","Global","unknown",0,"undefined",false,false,false
0x000f82ae,0x000f82df,50,"FUN_000f82ae","Global","unknown",0,"undefined",false,false,false
0x000f82e0,0x000f82f7,24,"FUN_000f82e0","Global","unknown",0,"undefined",false,false,false
0x000f82f8,0x000f8311,26,"FUN_000f82f8","Global","unknown",0,"undefined",false,false,false
0x000f8312,0x000f832b,26,"FUN_000f8312","Global","unknown",0,"undefined",false,false,false
0x000f832c,0x000f8345,26,"FUN_000f832c","Global","unknown",0,"undefined",false,false,false
0x000f8346,0x000f835f,26,"FUN_000f8346","Global","unknown",0,"undefined",false,false,false
0x000f8360,0x000f8379,26,"FUN_000f8360","Global","unknown",0,"undefined",false,false,false
0x000f837a,0x000f83a3,42,"FUN_000f837a","Global","unknown",0,"undefined",false,false,false
0x000f83a4,0x000f83c1,30,"FUN_000f83a4","Global","unknown",0,"undefined",false,false,false
0x000f83c4,0x000f83d5,18,"hardfault_exception_entry","Global","unknown",0,"undefined",false,false,false
0x000f83d8,0x000f83df,8,"reset_handler","Global","unknown",0,"undefined",false,false,false
0x000f83e0,0x000f83e1,2,"FUN_000f83e0","Global","unknown",0,"undefined",false,false,false
0x000f83e2,0x000f83e3,2,"FUN_000f83e2","Global","unknown",0,"undefined",false,false,false
0x000f83e4,0x000f83e5,2,"FUN_000f83e4","Global","unknown",0,"undefined",false,false,false
0x000f83e6,0x000f83e7,2,"FUN_000f83e6","Global","unknown",0,"undefined",false,false,false
0x000f83e8,0x000f83e9,2,"FUN_000f83e8","Global","unknown",0,"undefined",false,false,false
0x000f83ec,0x000f83ed,2,"FUN_000f83ec","Global","unknown",0,"undefined",false,false,false
0x000f83ee,0x000f83ef,2,"FUN_000f83ee","Global","unknown",0,"undefined",false,false,false
0x000f83f0,0x000f83f1,2,"FUN_000f83f0","Global","unknown",0,"undefined",false,false,false
0x000f83f2,0x000f83f3,2,"FUN_000f83f2","Global","unknown",0,"undefined",false,false,false
0x000f83fc,0x000f8419,30,"FUN_000f83fc","Global","unknown",0,"undefined",false,false,false
0x000f841a,0x000f845b,66,"FUN_000f841a","Global","unknown",0,"undefined",false,false,false
0x000f845c,0x000f8469,14,"FUN_000f845c","Global","unknown",0,"undefined",false,false,false
0x000f846a,0x000f846d,4,"FUN_000f846a","Global","unknown",0,"undefined",false,false,false
0x000f846e,0x000f847f,18,"FUN_000f846e","Global","unknown",0,"undefined",false,false,false
0x000f8480,0x000f848d,14,"FUN_000f8480","Global","unknown",0,"undefined",false,false,false
0x000f848e,0x000f84a7,26,"FUN_000f848e","Global","unknown",0,"undefined",false,false,false
0x000f84a8,0x000f84c5,30,"FUN_000f84a8","Global","unknown",0,"undefined",false,false,false
0x000f84c8,0x000f84e5,30,"FUN_000f84c8","Global","unknown",0,"undefined",false,false,false
0x000f84ec,0x000f8503,24,"FUN_000f84ec","Global","unknown",0,"undefined",false,false,false
0x000f8510,0x000f8529,26,"FUN_000f8510","Global","unknown",0,"undefined",false,false,false
0x000f852c,0x000f8603,216,"FUN_000f852c","Global","unknown",0,"undefined",false,false,false
0x000f8640,0x000f8781,322,"FUN_000f8640","Global","unknown",0,"undefined",false,false,false
0x000f87d4,0x000f88fb,296,"FUN_000f87d4","Global","unknown",0,"undefined",false,false,false
0x000f8914,0x000f89bd,170,"FUN_000f8914","Global","unknown",0,"undefined",false,false,false
0x000f89d0,0x000f8af7,296,"FUN_000f89d0","Global","unknown",0,"undefined",false,false,false
0x000f8b48,0x000f8c99,338,"FUN_000f8b48","Global","unknown",0,"undefined",false,false,false
0x000f8cf4,0x000f8f05,530,"FUN_000f8cf4","Global","unknown",0,"undefined",false,false,false
0x000f8f80,0x000f8f9d,30,"FUN_000f8f80","Global","unknown",0,"undefined",false,false,false
0x000f8fa4,0x000f900b,104,"FUN_000f8fa4","Global","unknown",0,"undefined",false,false,false
0x000f9018,0x000f9097,128,"FUN_000f9018","Global","unknown",0,"undefined",false,false,false
0x000f90a8,0x000f911b,116,"FUN_000f90a8","Global","unknown",0,"undefined",false,false,false
0x000f9124,0x000f91bf,156,"FUN_000f9124","Global","unknown",0,"undefined",false,false,false
0x000f91d4,0x000f920d,58,"FUN_000f91d4","Global","unknown",0,"undefined",false,false,false
0x000f921c,0x000f924d,50,"FUN_000f921c","Global","unknown",0,"undefined",false,false,false
0x000f9258,0x000f93ef,408,"FUN_000f9258","Global","unknown",0,"undefined",false,false,false
0x000f943c,0x000f9441,6,"FUN_000f943c","Global","unknown",0,"undefined",false,false,false
0x000f9448,0x000f944d,6,"FUN_000f9448","Global","unknown",0,"undefined",false,false,false
0x000f9454,0x000f947b,40,"FUN_000f9454","Global","unknown",0,"undefined",false,false,false
0x000f9488,0x000f948b,4,"thunk_FUN_000f841a","Global","unknown",0,"undefined",true,false,false
0x000f948c,0x000f948f,4,"thunk_FUN_000f846e","Global","unknown",0,"undefined",true,false,false
0x000f9490,0x000f9497,8,"FUN_000f9490","Global","unknown",0,"undefined",false,false,false
0x000f95fc,0x000f9639,62,"FUN_000f95fc","Global","unknown",0,"undefined",false,false,false
0x000f9648,0x000f966f,348,"FUN_000f9648","Global","unknown",0,"undefined",false,false,false
