address,name,namespace,type,source,primary,dynamic,external_entry
0x00000000,"MasterStackPointer","Global","Label","IMPORTED",true,false,false
0x00000004,"Reset","Global","Label","IMPORTED",true,false,true
0x00000008,"NMI","Global","Label","IMPORTED",true,false,true
0x0000000c,"HardFault","Global","Label","IMPORTED",true,false,true
0x00000010,"MemManage","Global","Label","IMPORTED",true,false,true
0x00000011,"DAT_00000011","Global","Label","DEFAULT",true,true,false
0x00000014,"BusFault","Global","Label","IMPORTED",true,false,true
0x00000018,"UsageFault","Global","Label","IMPORTED",true,false,true
0x0000001c,"Reserved1","Global","Label","IMPORTED",true,false,true
0x00000020,"Reserved2","Global","Label","IMPORTED",true,false,true
0x00000024,"Reserved3","Global","Label","IMPORTED",true,false,true
0x00000028,"Reserved4","Global","Label","IMPORTED",true,false,true
0x0000002c,"SVCall","Global","Label","IMPORTED",true,false,true
0x00000030,"Reserved5","Global","Label","IMPORTED",true,false,true
0x00000034,"Reserved6","Global","Label","IMPORTED",true,false,true
0x00000038,"PendSV","Global","Label","IMPORTED",true,false,true
0x0000003c,"SysTick","Global","Label","IMPORTED",true,false,true
0x00000040,"IRQ","Global","Label","IMPORTED",true,false,true
0x00000ff8,"DAT_00000ff8","Global","Label","DEFAULT",true,true,false
0x00000ffc,"DAT_00000ffc","Global","Label","DEFAULT",true,true,false
0x00001000,"DAT_00001000","Global","Label","DEFAULT",true,true,false
0x00001004,"DAT_00001004","Global","Label","DEFAULT",true,true,false
0x00003000,"DAT_00003000","Global","Label","DEFAULT",true,true,false
0x00003004,"DAT_00003004","Global","Label","DEFAULT",true,true,false
0x00003008,"DAT_00003008","Global","Label","DEFAULT",true,true,false
0x0000300c,"DAT_0000300c","Global","Label","DEFAULT",true,true,false
0x00003014,"DAT_00003014","Global","Label","DEFAULT",true,true,false
0x000f8000,"DAT_000f8000","Global","Label","DEFAULT",true,true,false
0x000f8200,"LAB_000f8200","Global","Label","DEFAULT",true,true,false
0x000f8208,"thunk_FUN_000fadc8","Global","Function","DEFAULT",true,false,false
0x000f820c,"DAT_000f820c","Global","Label","DEFAULT",true,true,false
0x000f8214,"DAT_000f8214","Global","Label","DEFAULT",true,true,false
0x000f8218,"FUN_000f8218","Global","Function","DEFAULT",true,false,false
0x000f821a,"LAB_000f821a","Global","Label","DEFAULT",true,true,false
0x000f824a,"LAB_000f824a","Global","Label","DEFAULT",true,true,false
0x000f8250,"FUN_000f8250","Global","Function","DEFAULT",true,false,false
